,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
W1_01_S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
W1_01_W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
W1_02_S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
W1_02_W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
W1_03_S,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
W1_03_W,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
W1_04_S,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
W1_04_W,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
W1_05_S,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
W1_05_W,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
W1_06_S,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
W1_06_W,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
W1_07_S,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
W1_07_W,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
W1_08_S,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
W1_08_W,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
W1_09_S,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
W1_09_W,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
W1_10_S,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
W1_10_W,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
W1_11_S,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
W1_11_W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
W1_12_S,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
W1_12_W,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
W1_13_S,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
W1_13_W,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
W1_14_S,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W1_14_W,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W1_15_S,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W1_15_W,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
W1_16_S,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_16_W,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_17_S,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_17_W,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_18_S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_18_W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_19_S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_19_W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_20_S,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_20_W,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W1_21_S,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
W1_21_W,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
W1_22_S,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
W1_22_W,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
