"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"LC_01_S"	488	1.42267997266566	1.41275098716765	0.0100006188143544	840	0.992837111615603	0.84	999
"LC_02_S"	641	1.40930569386988	1.41219155472595	0.00753323127800101	354	-0.383084064403858	0.354	999
"LC_02_W"	488	1.42519758392771	1.41159810225675	0.0105456947746273	902	1.28957664351192	0.902	999
"LC_03_W"	616	1.43259404898484	1.42509286515511	0.0087861728163838	797	0.853748723874858	0.797	999
"LC_04_W"	717	1.44142057380124	1.4409980458681	0.00556702963907225	519	0.0758982726049664	0.519	999
"LC_05_S"	615	1.45109963267501	1.43809580680978	0.00867501978449937	947	1.49899668107564	0.947	999
"LC_05_W"	634	1.44276760718353	1.43378109619767	0.00881051016793558	846	1.01997623458475	0.846	999
"LC_07_W"	707	1.42096751656648	1.42501261284268	0.00598390294368264	253	-0.675996304463729	0.253	999
"LC_08_S"	640	1.41695562021292	1.41736743196786	0.00665084763542609	461	-0.0619186872891039	0.461	999
"LC_08_W"	588	1.41541305597518	1.41371412330792	0.00805061543536841	575	0.211031402617605	0.575	999
"LC_09_S"	639	1.38379283223404	1.39463819632969	0.00761655524674779	67	-1.4239198357139	0.067	999
"LC_09_W"	590	1.37308617971188	1.38506992163365	0.00822351920651793	70	-1.4572522567063	0.07	999
"LC_10_S"	588	1.40016090929288	1.40271164867918	0.00758527025474818	388	-0.336275346907513	0.388	999
"LC_10_W"	534	1.40293288532137	1.40223298990922	0.00910184411082575	536	0.0768960008133074	0.536	999
"LC_11_S"	423	1.38567121862651	1.38597374116541	0.0109298326120422	503	-0.027678606767172	0.503	999
"LC_11_W"	620	1.39323132790432	1.40013197809568	0.00757816216949028	183	-0.910596796033072	0.183	999
"LC_13_S"	475	1.43164541036123	1.41235343698351	0.0116191617600455	953	1.66035844720468	0.953	999
"LC_13_W"	757	1.45474149803772	1.45269072660698	0.00456039585659437	648	0.449691538900208	0.648	999
"LC_14_W"	740	1.4131206364458	1.42022334756888	0.00544194388455267	88	-1.30517904516524	0.088	999
"LC_15_W"	685	1.44968877907323	1.44314251282381	0.00671802784880529	839	0.974432734837296	0.839	999
