"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"LC_16_S"	694	1.40407400516439	1.41116356848713	0.00650113776854068	138	-1.09051116514415	0.138	999
"LC_16_W"	671	1.3975895492152	1.40567000029063	0.00706366538632255	122	-1.14394590251722	0.122	999
"LC_17_S"	596	1.41040566491429	1.40999036908066	0.00853982289720444	528	0.0486304972161058	0.528	999
"LC_18_S"	542	1.42176769090881	1.41470190936804	0.0094691406289421	764	0.746190369079381	0.764	999
"LC_18_W"	525	1.43716273592781	1.42307961482557	0.0098607436111453	919	1.42820071767402	0.919	999
"LC_19_S"	440	1.37925071612369	1.38153412343699	0.00997554094744336	414	-0.228900600512196	0.414	999
"LC_20_W"	600	1.42789040136188	1.42228051253601	0.00815921179536412	757	0.687552788990104	0.757	999
"LC_21_W"	608	1.40319569941246	1.4057978129559	0.00790495587251802	382	-0.329174961303582	0.382	999
"LC_22_W"	699	1.41215805870595	1.41848310529822	0.00652976580962279	167	-0.968648306337379	0.167	999
"W1_01_S"	628	1.43041770820848	1.42621225919467	0.00774324689675177	692	0.543111832786273	0.692	999
"W1_02_S"	612	1.42447336851192	1.42133132703267	0.00778740192272149	640	0.403477502565174	0.64	999
"W1_02_W"	707	1.43466324144699	1.43390497814238	0.00583260357353132	543	0.130004258825963	0.543	999
"W1_03_W"	637	1.41542107155119	1.41636080585886	0.00692824400981061	434	-0.135638165506712	0.434	999
"W1_04_W"	666	1.41877605023911	1.42021001864532	0.00634214558589209	396	-0.22610146468524	0.396	999
"W1_05_S"	603	1.41391196084886	1.4131144786868	0.00786143288339079	523	0.1014423418582	0.523	999
"W1_05_W"	677	1.41532130698842	1.41857885860727	0.00597152295133636	296	-0.545514376382195	0.296	999
"W1_06_S"	599	1.43259738754536	1.42586463091032	0.00822437394837422	796	0.818634546204611	0.796	999
"W1_06_W"	681	1.43404508764937	1.43178928919848	0.0058854048946167	648	0.383286875121501	0.648	999
"W1_08_S"	527	1.38784251545426	1.38993981994192	0.00974522954286535	407	-0.215213451713706	0.407	999
"W1_08_W"	638	1.39573244171968	1.40246593361609	0.00690996396931834	171	-0.974461216628692	0.171	999
"W1_10_S"	690	1.42718819029832	1.42781264246922	0.00545638460534536	455	-0.114444309934548	0.455	999
"W1_11_W"	697	1.4225817467974	1.42445658386064	0.00584195048769868	357	-0.320926558207691	0.357	999
"W1_12_S"	648	1.42026858578788	1.42034675849376	0.00636160666631096	483	-0.0122882017037965	0.483	999
"W1_12_W"	688	1.41603557548402	1.41919202948463	0.00593496508359474	285	-0.531840365721747	0.285	999
"W1_13_W"	533	1.37117348489816	1.38144583099826	0.00810740775756885	103	-1.26703212756367	0.103	999
"W1_14_W"	674	1.42992501469964	1.42804577174647	0.00602498262600734	625	0.311908443528981	0.625	999
"W1_15_W"	670	1.42581498729711	1.42537328843062	0.00646935058912197	538	0.0682756113476167	0.538	999
"W1_17_W"	350	1.40133563236167	1.39017760942587	0.0129250491106394	819	0.863286695492325	0.819	999
"W1_18_S"	563	1.38797654091637	1.39424288176575	0.00820031663512647	228	-0.764158401219014	0.228	999
"W1_19_S"	476	1.37463290246536	1.37954181844954	0.0115530785529549	336	-0.424901117193527	0.336	999
"W1_20_S"	439	1.38228606174643	1.38492984466593	0.00981240310266468	399	-0.269432767063929	0.399	999
"W1_20_W"	545	1.36177060541275	1.37601561709993	0.00849133230249574	41	-1.67759441978239	0.041	999
"W1_21_S"	556	1.41046669171006	1.40882486974435	0.00841504811428953	567	0.195105475739161	0.567	999
"W1_21_W"	686	1.42034073047752	1.42225423962496	0.00583039639663092	371	-0.328195377684017	0.371	999
"W1_22_S"	683	1.43188016692022	1.43075203998234	0.00550798584298981	567	0.204816600847543	0.567	999
"W1_22_W"	674	1.40601503149162	1.41180195719032	0.00644355653809131	183	-0.898094967351946	0.183	999
