"","LC_01_S","LC_02_S","LC_02_W","LC_03_W","LC_04_W","LC_05_S","LC_05_W","LC_07_W","LC_08_S","LC_08_W","LC_09_S","LC_09_W","LC_10_S","LC_10_W","LC_11_S","LC_11_W","LC_13_S","LC_13_W","LC_14_W","LC_15_W","LC_16_S","LC_16_W","LC_17_S","LC_18_S","LC_18_W","LC_19_S","LC_20_W","LC_21_W","LC_22_W","W1_01_S","W1_02_S","W1_02_W","W1_03_W","W1_04_W","W1_05_S","W1_05_W","W1_06_S","W1_06_W","W1_08_S","W1_08_W","W1_10_S","W1_11_W","W1_12_S","W1_12_W","W1_13_W","W1_14_W","W1_15_W","W1_17_W","W1_18_S","W1_19_S","W1_20_S","W1_20_W","W1_21_S","W1_21_W","W1_22_S","W1_22_W"
"W1_05_W",0.974,-0.998,0.582,-1,-1,-0.964,-0.51,-1,-1,0.04,-1,0.928,-1,0.91,0.594,-1,0.756,-1,-1,-1,-1,-1,-0.054,-1,-0.186,0.172,-1,-0.876,-1,-1,-0.986,-1,-0.182,-0.952,-0.912,-0.001,-0.994,-1,0.78,-0.998,-1,-1,-0.876,-0.794,0.998,-1,-1,0.998,0.73,0.884,0.992,-1,0.916,-1,-1,-1
"W1_06_S",0.946,-0.16,-0.39,-1,-1,0.938,-0.914,-0.996,0.944,-0.986,-0.622,-0.994,-0.616,-0.996,0.0580000000000001,-1,0.986,-1,-0.998,-1,-0.316,-0.998,-0.862,-0.28,-1,-0.41,-1,-0.838,-0.974,0.998,0.964,-0.902,-0.996,-0.764,0.208,-0.994,-0.001,-0.994,0.726,-0.9,0.804,-1,0.12,-1,-0.172,-1,-1,0.41,-0.86,-0.338,0.0960000000000001,-1,0.156,-0.788,0.998,-0.93
"W1_06_W",0.922,-1,0.96,-1,-1,-1,-0.968,-1,-1,-0.846,-1,-0.862,-1,0.00600000000000001,0.554,-1,0.786,-1,-1,-1,-1,-1,-0.992,-1,-0.832,-0.108,-1,-0.81,-1,-1,-0.998,-1,-0.832,-1,-1,-1,-0.994,-0.001,-0.66,-1,-1,-1,-1,-1,0.996,-1,-1,0.982,-0.904,-0.162,0.992,-1,0.662,-1,-1,-1
"W1_08_S",0.916,0.766,-0.756,-0.406,-0.998,0.93,0.662,-0.978,0.206,0.794,0.298,0.85,0.504,0.286,0.638,-0.96,0.888,-0.992,-0.354,-0.554,-0.316,-0.996,0.89,0.234,-0.438,-0.23,-0.888,-0.356,-0.484,0.946,0.86,-0.676,0.728,0.02,0.74,0.78,0.726,-0.66,-0.001,0.486,0.952,-0.61,0.998,0.84,0.996,-0.994,-0.804,0.988,0.652,0.984,0.316,-0.99,0.606,-0.432,0.962,0.036
"W1_08_W",0.948,-1,0.77,-1,-1,-1,-0.988,-1,-1,-0.926,-1,-0.104,-1,-0.476,0.862,-1,0.738,-1,-1,-1,-1,-1,-0.88,-1,-0.99,-0.026,-1,-0.828,-1,-1,-0.982,-0.998,-0.998,-0.956,-0.964,-0.998,-0.9,-1,0.486,-0.001,-1,-1,-1,-1,0.998,-1,-1,0.878,-0.812,0.256,0.974,-1,0.878,-1,-1,-0.998
"W1_10_S",0.998,0.456,-0.736,-1,-1,-0.112,-0.994,-1,-0.974,-0.826,-1,-0.872,0.526,-0.616,0.998,-1,0.998,-1,-1,-1,-1,-1,0.136,-0.594,-0.994,0.998,-1,-0.922,-1,0.902,0.998,-1,-1,-1,-0.204,-1,0.804,-1,0.952,-1,-0.001,-1,0.998,-1,0.996,-1,-1,0.98,0.998,-0.096,0.998,-1,0.998,-1,-0.986,-1
"W1_11_W",0.848,-1,0.928,-1,-1,-1,-0.982,-1,-1,-0.86,-1,-0.368,-1,0.318,0.508,-1,0.546,-1,-1,-1,-1,-1,-0.982,-1,-0.934,-0.156,-1,-0.71,-1,-1,-1,-1,-0.906,-0.986,-0.99,-1,-1,-1,-0.61,-1,-1,-0.001,-1,-1,0.998,-1,-1,0.974,-0.912,0.396,0.946,-1,0.668,-1,-1,-1
"W1_12_S",0.998,0.75,-0.864,-1,-1,0.168,-0.822,-1,-0.708,0.048,-0.338,0.016,0.73,0.388,0.994,-1,0.994,-1,-1,-1,-0.996,-1,0.908,-0.648,-0.726,0.998,-1,-0.908,-1,0.784,0.998,-1,-0.988,-0.998,0.044,-0.876,0.12,-1,0.998,-1,0.998,-1,-0.001,-0.992,0.998,-1,-1,0.998,0.998,0.766,0.988,-1,0.998,-1,-0.254,-1
"W1_12_W",0.67,-1,0.626,-0.994,-1,-0.992,-0.034,-1,-1,0.588,-1,0.928,-1,0.98,0.214,-1,0.34,-1,-1,-1,-1,-1,-0.172,-1,0.504,-0.566,-1,-0.908,-1,-1,-1,-1,0.036,-0.996,-0.984,-0.794,-1,-1,0.84,-1,-1,-1,-0.992,-0.001,0.998,-1,-0.96,0.998,-0.096,0.946,0.852,-1,0.136,-1,-1,-1
"W1_13_W",0.918,0.962,0.022,0.514,-0.496,0.538,0.918,0.572,-0.00600000000000001,0.984,0.856,0.998,0.58,0.956,0.682,0.466,0.638,-0.192,0.998,0.988,0.66,-0.864,0.996,-0.504,0.52,0.292,0.492,0.896,0.998,0.714,0.908,0.992,0.998,0.998,0.954,0.998,-0.172,0.996,0.996,0.998,0.996,0.998,0.998,0.998,-0.001,0.964,0.998,0.992,0.994,0.968,0.93,0.778,0.99,0.998,0.76,0.998
