"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"LC_01_S"	488	0.202843752930328	0.25570914711547	0.00912861714825075	1	-5.79117223634166	0.001	999
"LC_02_S"	641	0.186606939921997	0.224831676846925	0.00548373361582431	1	-6.970567792466	0.001	999
"LC_02_W"	488	0.213337538133197	0.255680007007866	0.0092752762329594	1	-4.56508979476073	0.001	999
"LC_03_W"	616	0.201783999323052	0.229495853487392	0.00636695753171159	1	-4.35244840668665	0.001	999
"LC_04_W"	717	0.198496152962343	0.213248112744651	0.00425268556429905	1	-3.46885739828724	0.001	999
"LC_05_S"	615	0.201019431736585	0.229280989490762	0.00654417734180802	1	-4.31858066767623	0.001	999
"LC_05_W"	634	0.195052575417981	0.226262445008952	0.00595762596029981	1	-5.23864200252687	0.001	999
"LC_07_W"	707	0.18100171398727	0.214870113861574	0.0044907467301495	1	-7.54181919165519	0.001	999
"LC_08_S"	640	0.179368549934375	0.225163079652495	0.00581103061707531	1	-7.88062096653829	0.001	999
"LC_08_W"	588	0.191157582896259	0.234261475143138	0.00674016521070683	1	-6.39507948238546	0.001	999
"LC_09_S"	639	0.171615459186228	0.225264792389867	0.00574233988006422	1	-9.34276520097564	0.001	999
"LC_09_W"	590	0.176775106816949	0.233978455404216	0.00638939997820773	1	-8.95285140738879	0.001	999
"LC_10_S"	588	0.188428867586735	0.234135364165931	0.00658121309053012	1	-6.94499569463338	0.001	999
"LC_10_W"	534	0.191562026874532	0.24545112974646	0.00774805050410215	1	-6.95518218981625	0.001	999
"LC_11_S"	423	0.199538883761229	0.272159049400954	0.0107182365581362	1	-6.77538373461245	0.001	999
"LC_11_W"	620	0.179700906241935	0.228535206472745	0.00606391984367545	1	-8.05325622530171	0.001	999
"LC_13_S"	475	0.210988030541053	0.258589464619464	0.00950055677633745	1	-5.01038362267036	0.001	999
"LC_13_W"	757	0.190729638154557	0.20781078819304	0.00351976319147288	1	-4.85292592406894	0.001	999
"LC_14_W"	740	0.184099754714865	0.209905999019039	0.0038106174141995	1	-6.77219502750726	0.001	999
"LC_15_W"	685	0.191205522232117	0.218000166270763	0.00494656451040892	1	-5.41681888152125	0.001	999
"LC_16_S"	694	0.181400174229107	0.216532858606226	0.00485224849801889	1	-7.24049569832695	0.001	999
"LC_16_W"	671	0.179867394436662	0.220196591808446	0.00529965556338203	1	-7.60977706748325	0.001	999
"LC_17_S"	596	0.172653837578859	0.232996800072243	0.00649488782802167	1	-9.29083982529144	0.001	999
"LC_18_S"	542	0.193793024302583	0.243405117736672	0.00778089785268744	1	-6.37613992284368	0.001	999
"LC_18_W"	525	0.208230384367619	0.246998939776395	0.00819391992091864	1	-4.7313808022217	0.001	999
"LC_19_S"	440	0.190457181768182	0.267614135517527	0.0104149895325413	1	-7.40826032597253	0.001	999
"LC_20_W"	600	0.189763860783333	0.232184517136356	0.00641945716909962	1	-6.60813760970585	0.001	999
"LC_21_W"	608	0.187071318842105	0.230737650444947	0.00633931240599781	1	-6.8881810528106	0.001	999
"LC_22_W"	699	0.178358633818312	0.215998508910361	0.00436900372637908	1	-8.61520782525038	0.001	999
"W1_01_S"	628	0.191199103541401	0.227334281104719	0.00592019103294633	1	-6.10371816757652	0.001	999
"W1_02_S"	612	0.195002865285948	0.230221236760512	0.0064429118736441	1	-5.46621964808048	0.001	999
"W1_02_W"	707	0.194724800591231	0.214573899561244	0.00444635820358325	1	-4.46412503473467	0.001	999
"W1_03_W"	637	0.187155572122449	0.225688387979719	0.00591535212707807	1	-6.51403585610442	0.001	999
"W1_04_W"	666	0.186445198803303	0.221269567238495	0.00508485373403118	1	-6.84864703228814	0.001	999
"W1_05_S"	603	0.178723915086235	0.231348595208831	0.00648539012304324	1	-8.11434302704698	0.001	999
"W1_05_W"	677	0.180715158146233	0.21937253272475	0.00515616469522266	1	-7.49731183224882	0.001	999
"W1_06_S"	599	0.194976199776294	0.232643324182934	0.00653799116901799	1	-5.76126878010115	0.001	999
"W1_06_W"	681	0.185777068718062	0.218753297810023	0.00495723945306184	1	-6.65213560978853	0.001	999
"W1_08_S"	527	0.183789413491461	0.246460180034518	0.00798250043763758	1	-7.85101949353663	0.001	999
"W1_08_W"	638	0.180483127968652	0.225469046190727	0.00581890366205816	1	-7.73099553364372	0.001	999
"W1_10_S"	690	0.1795626688	0.217311555299846	0.00481244508046735	1	-7.84401398221886	0.001	999
"W1_11_W"	697	0.191635790199426	0.216240715590131	0.00450088038591522	1	-5.46669168718681	0.001	999
"W1_12_S"	648	0.183641367070988	0.223883383187868	0.00551920667721154	1	-7.29126819675688	0.001	999
"W1_12_W"	688	0.188446498873547	0.217502409639798	0.00477366848182742	1	-6.08670477995338	0.001	999
