"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"W1_13_W"	533	0.177775068356473	0.245648055505988	0.00783977988570483	1	-8.65751183566722	0.001	999
"W1_14_W"	674	0.192818657642433	0.219652345919531	0.00507812886525575	1	-5.28416843863338	0.001	999
"W1_15_W"	670	0.183173118026866	0.220356975074392	0.00521413823782794	1	-7.13135236380238	0.001	999
"W1_17_W"	350	0.240359171391429	0.296020373838029	0.0139620306490203	1	-3.98661225188663	0.001	999
"W1_18_S"	563	0.176110906895204	0.239196403852238	0.00721475783588322	1	-8.74395210373829	0.001	999
"W1_19_S"	476	0.194381012056723	0.258649754118518	0.0092711089114427	1	-6.93215263413338	0.001	999
"W1_20_S"	439	0.184683080585421	0.267916605701421	0.0104779278365457	1	-7.94370093156123	0.001	999
"W1_20_W"	545	0.172157497899083	0.242777557135574	0.00771969669618184	1	-9.14803547546372	0.001	999
"W1_21_S"	556	0.186053059816547	0.240681789737615	0.00719340216002582	1	-7.5942827476884	0.001	999
"W1_21_W"	686	0.181640492061224	0.217877222423113	0.00474109124168242	1	-7.64312022584682	0.001	999
"W1_22_S"	683	0.181709418161054	0.218231876381008	0.00489971454520376	1	-7.45399714269164	0.001	999
"W1_22_W"	674	0.179208360964392	0.219823366402083	0.00509328420619234	1	-7.97422719672943	0.001	999
