"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"W1_08_W"	638	1.39573244171968	1.39594209985938	0.00130075425885555	461	-0.161181974430744	0.461	999
"W1_10_S"	690	1.42718819029832	1.42716053104333	0.00085987058934759	490	0.0321667647901142	0.49	999
"W1_11_W"	697	1.4225817467974	1.42261346453089	0.00109545036845167	483	-0.028954057984621	0.483	999
"W1_12_S"	648	1.42026858578788	1.42030441095119	0.00114304083866397	482	-0.0313419801778787	0.482	999
"W1_12_W"	688	1.41603557548402	1.41612521035875	0.000993771397574498	476.5	-0.0901966739531719	0.4765	999
"W1_13_W"	533	1.37117348489816	1.37153361645932	0.00155124060488613	429.5	-0.232157126381142	0.4295	999
"W1_14_W"	674	1.42992501469964	1.42994467688201	0.00109713100340394	511	-0.0179214535986565	0.511	999
"W1_15_W"	670	1.42581498729711	1.42578266456874	0.00107560313398983	516.5	0.0300507941503049	0.5165	999
"W1_17_W"	350	1.40133563236167	1.40105029693338	0.00271305682615199	573.5	0.105171194919128	0.5735	999
"W1_18_S"	563	1.38797654091637	1.38815375819022	0.00140765286928464	473.5	-0.125895579597893	0.4735	999
"W1_19_S"	476	1.37463290246536	1.37486831516494	0.0021247461587393	450	-0.110795681927669	0.45	999
"W1_20_S"	439	1.38228606174643	1.38240168442169	0.0017796297805701	475	-0.0649700721568456	0.475	999
"W1_20_W"	545	1.36177060541275	1.36208627428215	0.00146272620310653	443	-0.215808583133301	0.443	999
"W1_21_S"	556	1.41046669171006	1.41049574047758	0.00144638939571368	485.5	-0.0200836424887036	0.4855	999
"W1_21_W"	686	1.42034073047752	1.42036455914806	0.00112681361677099	486.5	-0.0211469494050132	0.4865	999
"W1_22_S"	683	1.43188016692022	1.43182809478822	0.000959558209946238	513.5	0.0542667776317436	0.5135	999
"W1_22_W"	674	1.40601503149162	1.40615750672284	0.00109617248273094	460	-0.129975194116807	0.46	999
