"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"LC_01_S"	488	1.42267997266566	1.42244832508394	0.00202019388124835	527.5	0.114666014915293	0.5275	999
"LC_02_S"	641	1.40930569386988	1.40944799759738	0.00142489691344125	479	-0.0998694896147536	0.479	999
"LC_02_W"	488	1.42519758392771	1.42470677066374	0.00212305718394179	594	0.231182309964966	0.594	999
"LC_03_W"	616	1.43259404898484	1.43229820017052	0.00173960760134401	562	0.170066406984204	0.562	999
"LC_04_W"	717	1.44142057380124	1.44139778835786	0.001133145726151	509	0.0201081316009699	0.509	999
"LC_05_S"	615	1.45109963267501	1.45079297673924	0.0014986328159865	564	0.204623796103398	0.564	999
"LC_05_W"	634	1.44276760718353	1.4424807056486	0.00176665277234945	563.5	0.162398372460061	0.5635	999
"LC_07_W"	707	1.42096751656648	1.42112825763483	0.00110792174768293	477	-0.145083412873711	0.477	999
"LC_08_S"	640	1.41695562021292	1.41701696547384	0.00113681483162827	466.5	-0.0539624037423408	0.4665	999
"LC_08_W"	588	1.41541305597518	1.41535346605411	0.00145729112425807	519.5	0.0408908831411663	0.5195	999
"LC_09_S"	639	1.38379283223404	1.38403624870358	0.0011064643719143	446	-0.219994855435625	0.446	999
"LC_09_W"	590	1.37308617971188	1.37339757871756	0.00130985612364558	426	-0.23773527493724	0.426	999
"LC_10_S"	588	1.40016090929288	1.40027657778225	0.00142516808820054	467.5	-0.0811612962185903	0.4675	999
"LC_10_W"	534	1.40293288532137	1.40290150419642	0.00167985571511789	522	0.0186808454253728	0.522	999
"LC_11_S"	423	1.38567121862651	1.38572436044865	0.0022892521808655	472	-0.0232136164724047	0.472	999
"LC_11_W"	620	1.39323132790432	1.39339787661339	0.00128691012571203	461.5	-0.1294175138906	0.4615	999
"LC_13_S"	475	1.43164541036123	1.43118106602811	0.00219491062997071	534	0.211555006742326	0.534	999
"LC_13_W"	757	1.45474149803772	1.4546741364639	0.000797030759530859	530.5	0.0845156513933104	0.5305	999
"LC_14_W"	740	1.4131206364458	1.4132979988674	0.00100381383656782	465	-0.176688560311723	0.465	999
"LC_15_W"	685	1.44968877907323	1.44948479795982	0.00126082515841072	552	0.161783822327228	0.552	999
"LC_16_S"	694	1.40407400516439	1.40425078078597	0.00112618396499158	476.5	-0.156968689905942	0.4765	999
"LC_16_W"	671	1.3975895492152	1.39783860159334	0.00135233374610862	473	-0.184164877093708	0.473	999
"LC_17_S"	596	1.41040566491429	1.41036403479281	0.00148330628250773	516.5	0.0280657622553523	0.5165	999
"LC_18_S"	542	1.42176769090881	1.42159181226403	0.00180606732157065	510.5	0.0973821090073778	0.5105	999
"LC_18_W"	525	1.43716273592781	1.43682117982293	0.00182964112524309	568.5	0.186679289271623	0.5685	999
"LC_19_S"	440	1.37925071612369	1.37932186653783	0.00182349072320674	484.5	-0.0390187968797173	0.4845	999
"LC_20_W"	600	1.42789040136188	1.42767950770803	0.00142128956537295	559	0.148381905406889	0.559	999
"LC_21_W"	608	1.40319569941246	1.40325756020107	0.00140685060716362	506	-0.0439711141326234	0.506	999
"LC_22_W"	699	1.41215805870595	1.41241245644195	0.00122806968316427	435.5	-0.207152525210641	0.4355	999
"W1_01_S"	628	1.43041770820848	1.43023233492671	0.00140226479249326	532.5	0.132195632923222	0.5325	999
"W1_02_S"	612	1.42447336851192	1.42435732433711	0.00134188398075754	495	0.0864785454448011	0.495	999
"W1_02_W"	707	1.43466324144699	1.43461139177702	0.00102183799914539	494.5	0.0507415754895607	0.4945	999
"W1_03_W"	637	1.41542107155119	1.41545133783088	0.00125505880413532	508.5	-0.0241154275727886	0.5085	999
"W1_04_W"	666	1.41877605023911	1.4188107236805	0.00106992992618185	496.5	-0.0324072077509535	0.4965	999
"W1_05_S"	603	1.41391196084886	1.41382257912901	0.00142819898195066	496.5	0.0625835202048935	0.4965	999
"W1_05_W"	677	1.41532130698842	1.4153610856627	0.000931165410899527	482	-0.0427192352870725	0.482	999
"W1_06_S"	599	1.43259738754536	1.43243874745054	0.0014740772379709	524	0.107619933835173	0.524	999
"W1_06_W"	681	1.43404508764937	1.43403473650194	0.00105334923322981	498	0.00982689036328483	0.498	999
"W1_08_S"	527	1.38784251545426	1.38795929016427	0.00180479070888825	488	-0.0647026325190744	0.488	999
