"ntaxa"	"pd.obs"	"pd.rand.mean"	"pd.rand.sd"	"pd.obs.rank"	"pd.obs.z"	"pd.obs.p"	"runs"
"W1_06_W"	681	117.843538487	117.844972970089	0.201019347811627	513	-0.00713604488672968	0.513	999
"W1_08_S"	527	89.975851009	89.9920075118729	0.327289284300051	688	-0.0493645947114559	0.688	999
"W1_08_W"	638	107.418748152	107.462091410334	0.240373840551896	443.5	-0.180316037031385	0.4435	999
"W1_10_S"	690	116.356555425	116.366306551903	0.226623012275457	810	-0.0430279643933967	0.81	999
"W1_11_W"	697	121.002315279	121.000941095061	0.21410947568219	502.5	0.00641813695800717	0.5025	999
"W1_12_S"	648	109.280665624	109.291685873954	0.237454063690854	758	-0.0464100288816523	0.758	999
"W1_12_W"	688	117.720399697	117.73568314905	0.236616459975294	477.5	-0.0645916689466059	0.4775	999
"W1_13_W"	533	86.659547208	86.7174287153914	0.292567613181313	665	-0.197839763472142	0.665	999
"W1_14_W"	674	118.096676441	118.095961132677	0.217154677475385	493	0.00329400375639197	0.493	999
"W1_15_W"	670	114.434619866	114.449903831377	0.265548375143895	456	-0.0575562376124355	0.456	999
"W1_17_W"	350	73.502580868	73.3538602725505	0.423455080631453	720	0.351207488708545	0.72	999
"W1_18_S"	563	94.884332566	94.9113013609419	0.304040159465025	682	-0.0887014234876197	0.682	999
"W1_19_S"	476	83.437882067	83.4391029424084	0.3840630339316	468	-0.00317884123319333	0.468	999
"W1_20_S"	439	76.24274338	76.2690990908058	0.32103731010507	685	-0.0820954760591246	0.685	999
"W1_20_W"	545	88.706533475	88.7659418001922	0.322560033026316	656	-0.184177576604314	0.656	999
"W1_21_S"	556	97.365493469	97.1937646223133	0.281522267392828	872	0.610000936256546	0.872	999
"W1_21_W"	686	116.125964461	116.181126936931	0.232411352869783	430.5	-0.237348456733241	0.4305	999
"W1_22_S"	683	115.365550413	115.386091411316	0.213257414861157	757	-0.0963202068715598	0.757	999
"W1_22_W"	674	113.993309577	114.034684039354	0.288654829322246	458.5	-0.143335424013176	0.4585	999
