"ntaxa"	"pd.obs"	"pd.rand.mean"	"pd.rand.sd"	"pd.obs.rank"	"pd.obs.z"	"pd.obs.p"	"runs"
"LC_01_S"	488	89.743258342	89.5530655573313	0.339337517242532	841	0.560482631611679	0.841	999
"LC_02_S"	641	108.872923681	108.887074738285	0.302228159895225	752	-0.0468224314047878	0.752	999
"LC_02_W"	488	95.61112994	95.5125111963534	0.411096575006717	710	0.239891912612087	0.71	999
"LC_03_W"	616	115.069344794	114.983993830986	0.347019287804118	751	0.245954521877142	0.751	999
"LC_04_W"	717	128.351122926	128.322807730885	0.190043494440008	803	0.148993235461953	0.803	999
"LC_05_S"	615	113.298815609	113.233202159991	0.281350277299053	781	0.233209114413862	0.781	999
"LC_05_W"	634	116.930044652	116.863892224751	0.310914144082086	725	0.212767506748695	0.725	999
"LC_07_W"	707	119.610096579	119.613003967948	0.269680438867318	798	-0.0107808670148921	0.798	999
"LC_08_S"	640	108.423897332	108.437724534092	0.270935976193725	753	-0.0510349429645897	0.753	999
"LC_08_W"	588	103.28013116	103.247639026808	0.274262477133772	729	0.118470938976988	0.729	999
"LC_09_S"	639	104.236625814	104.277427851205	0.285193780135497	741	-0.143067766715759	0.741	999
"LC_09_W"	590	97.01145122	97.047952853042	0.322564745615661	733	-0.113160639958907	0.733	999
"LC_10_S"	588	100.63167083	100.646758939176	0.318523799157176	701	-0.0473688597715452	0.701	999
"LC_10_W"	534	95.281132892	95.1070904424665	0.360982152068299	831	0.482135885489986	0.831	999
"LC_11_S"	423	77.953119762	77.7228580775736	0.386868124396848	873	0.595194253301215	0.873	999
"LC_11_W"	620	104.997139907	104.997457425155	0.304482053345826	722	-0.00104281402357817	0.722	999
"LC_13_S"	475	90.005990161	89.9493953610571	0.371516474258625	675	0.152334563509948	0.675	999
"LC_13_W"	757	134.740003178	134.705695656635	0.179902141163597	878	0.190701017472333	0.878	999
"LC_14_W"	740	125.244931067	125.253981884348	0.230264763631376	847	-0.0393061326692691	0.847	999
"LC_15_W"	685	122.504463467	122.466650256322	0.236119186996239	806	0.160144591207114	0.806	999
"LC_16_S"	694	116.073065209	116.112557324075	0.313484310193781	745	-0.12597796377964	0.745	999
"LC_16_W"	671	113.721296284	113.733387028761	0.293109255996041	723	-0.0412499588922313	0.723	999
"LC_17_S"	596	98.623025089	98.6850302595015	0.27885787666471	666	-0.222354022210605	0.666	999
"LC_18_S"	542	97.281465814	97.2545247115716	0.302288601989213	691	0.0891237785716617	0.691	999
"LC_18_W"	525	98.304085288	98.2248775295165	0.359030611793868	722	0.220615612935404	0.722	999
"LC_19_S"	440	78.967043772	78.847488893019	0.406206238823633	785	0.294320637041929	0.785	999
"LC_20_W"	600	106.627694191	106.624414377835	0.341028308052865	690	0.00961742203712288	0.69	999
"LC_21_W"	608	104.395508497	104.373561418015	0.26491383505098	768	0.0828461034538112	0.768	999
"LC_22_W"	699	116.900317607	116.950559846936	0.27625286140047	756	-0.181870477942694	0.756	999
"W1_01_S"	628	110.059260609	110.048414565351	0.249796256908866	778	0.0434195603363186	0.778	999
"W1_02_S"	612	107.917314456	107.897047397387	0.289845902067855	733	0.0699235644458854	0.733	999
"W1_02_W"	707	125.362805317	125.347039809488	0.220144879079408	507.5	0.0716142368491368	0.5075	999
"W1_03_W"	637	109.302422486	109.325577845532	0.266604582343381	488	-0.0868528189875801	0.488	999
"W1_04_W"	666	113.810187938	113.803932149558	0.257701395011979	783	0.0242753379047646	0.783	999
"W1_05_S"	603	101.050334197	101.071799191007	0.264110380953453	698	-0.0812728145312382	0.698	999
"W1_05_W"	677	113.869242333	113.90344121192	0.224908320087434	463.5	-0.152056975511749	0.4635	999
"W1_06_S"	599	105.171504669	105.154292709078	0.300799979077564	715	0.0572206154225984	0.715	999
