"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"LC_01_S"	488	1.42267997266566	1.4728263013503	0.0171556355966135	3	-2.92302365611793	0.003	999
"LC_02_S"	641	1.40930569386988	1.47308700722026	0.0110623389566268	1	-5.76562638339407	0.001	999
"LC_02_W"	488	1.42519758392771	1.47345264343646	0.0168153801205993	4	-2.86969781013961	0.004	999
"LC_03_W"	616	1.43259404898484	1.47342282973465	0.0119235343644822	1	-3.42421797948001	0.001	999
"LC_04_W"	717	1.44142057380124	1.47297827084232	0.00835152493458162	3	-3.77867482744458	0.003	999
"LC_05_S"	615	1.45109963267501	1.47368481748759	0.0125898889738537	38	-1.79391453407407	0.038	999
"LC_05_W"	634	1.44276760718353	1.47385691746607	0.01144667852001	4	-2.71601148125189	0.004	999
"LC_07_W"	707	1.42096751656648	1.47292474986597	0.00875443891003483	1	-5.93495869163361	0.001	999
"LC_08_S"	640	1.41695562021292	1.47330861715536	0.0111310930777911	1	-5.06266514425936	0.001	999
"LC_08_W"	588	1.41541305597518	1.47368632401569	0.0131369156732353	1	-4.43584091502073	0.001	999
"LC_09_S"	639	1.38379283223404	1.47328158457845	0.0111044251042898	1	-8.05883704054562	0.001	999
"LC_09_W"	590	1.37308617971188	1.47349601654969	0.0132025222401007	1	-7.60535259943165	0.001	999
"LC_10_S"	588	1.40016090929288	1.47292675342741	0.013026020127896	1	-5.58619159344719	0.001	999
"LC_10_W"	534	1.40293288532137	1.47395174053958	0.0154245815743669	1	-4.6042646198083	0.001	999
"LC_11_S"	423	1.38567121862651	1.47324554180022	0.0195047653276426	1	-4.48989371072266	0.001	999
"LC_11_W"	620	1.39323132790432	1.47352703944572	0.011949482809166	1	-6.71959722640135	0.001	999
"LC_13_S"	475	1.43164541036123	1.47344149734013	0.0180078581083395	13	-2.32099157642405	0.013	999
"LC_13_W"	757	1.45474149803772	1.47295018815639	0.00661558907255668	5	-2.75239134700781	0.005	999
"LC_14_W"	740	1.4131206364458	1.47303609122998	0.00759154715062964	1	-7.89239052269035	0.001	999
"LC_15_W"	685	1.44968877907323	1.47331717952568	0.00988011925832238	16	-2.39150964018452	0.016	999
"LC_16_S"	694	1.40407400516439	1.47358710398738	0.00936382731672224	1	-7.4235776111388	0.001	999
"LC_16_W"	671	1.3975895492152	1.47346794482568	0.0102696174138984	1	-7.38862924998504	0.001	999
"LC_17_S"	596	1.41040566491429	1.47342930961546	0.0126183446133799	1	-4.99460481007512	0.001	999
"LC_18_S"	542	1.42176769090881	1.47291355404102	0.0149030227013974	2	-3.43191204609872	0.002	999
"LC_18_W"	525	1.43716273592781	1.47368309147952	0.015856147087016	11	-2.30323011960563	0.011	999
"LC_19_S"	440	1.37925071612369	1.47397252894948	0.0180769727833914	1	-5.2399156629156	0.001	999
"LC_20_W"	600	1.42789040136188	1.47285791090583	0.0124241485018366	2	-3.61936349499607	0.002	999
"LC_21_W"	608	1.40319569941246	1.47341021681092	0.0122072577967856	1	-5.75186651804432	0.001	999
"LC_22_W"	699	1.41215805870595	1.47342018743245	0.00899431379034331	1	-6.81120651942153	0.001	999
"W1_01_S"	628	1.43041770820848	1.4733211694963	0.0118144008317527	1	-3.63145468812165	0.001	999
"W1_02_S"	612	1.42447336851192	1.47316527400823	0.0124771388874925	1	-3.90248966011934	0.001	999
"W1_02_W"	707	1.43466324144699	1.47324390488195	0.0087088066413699	1	-4.43007463866459	0.001	999
"W1_03_W"	637	1.41542107155119	1.47352321176842	0.0113807090838196	1	-5.10531811236981	0.001	999
"W1_04_W"	666	1.41877605023911	1.47341462816204	0.0105428287444146	1	-5.18253490097514	0.001	999
