"ntaxa"	"mpd.obs"	"mpd.rand.mean"	"mpd.rand.sd"	"mpd.obs.rank"	"mpd.obs.z"	"mpd.obs.p"	"runs"
"W1_05_S"	603	1.41391196084886	1.47296070837992	0.0122861678309035	1	-4.80611597886058	0.001	999
"W1_05_W"	677	1.41532130698842	1.47330400957679	0.0100324025543965	1	-5.7795430629884	0.001	999
"W1_06_S"	599	1.43259738754536	1.47345452043437	0.012623213714188	4	-3.23666649508447	0.004	999
"W1_06_W"	681	1.43404508764937	1.47296859775575	0.0100010902922407	1	-3.89192667689292	0.001	999
"W1_08_S"	527	1.38784251545426	1.47318939847035	0.0155508808000174	1	-5.4882346610231	0.001	999
"W1_08_W"	638	1.39573244171968	1.47346420370542	0.0113284543660882	1	-6.86163879676529	0.001	999
"W1_10_S"	690	1.42718819029832	1.47314576770342	0.00942306181778904	1	-4.87713848150077	0.001	999
"W1_11_W"	697	1.4225817467974	1.47336257837698	0.00904063674993457	1	-5.61695298508129	0.001	999
"W1_12_S"	648	1.42026858578788	1.47291532468483	0.0107064221674307	1	-4.91730459285505	0.001	999
"W1_12_W"	688	1.41603557548402	1.47322900068053	0.00934786988841234	1	-6.11833774744813	0.001	999
"W1_13_W"	533	1.37117348489816	1.47304568386635	0.015581398717761	1	-6.53806508731851	0.001	999
"W1_14_W"	674	1.42992501469964	1.47330740740221	0.0099649068244528	1	-4.35351714439688	0.001	999
"W1_15_W"	670	1.42581498729711	1.47325747814645	0.0101505011030978	1	-4.67390627984442	0.001	999
"W1_17_W"	350	1.40133563236167	1.47458318244818	0.0238262973667216	1	-3.07423134023406	0.001	999
"W1_18_S"	563	1.38797654091637	1.47332132097535	0.0137502266070887	1	-6.20679080408621	0.001	999
"W1_19_S"	476	1.37463290246536	1.47462450703254	0.017316492960388	1	-5.77435655105848	0.001	999
"W1_20_S"	439	1.38228606174643	1.47318784840711	0.0186220544594131	1	-4.88140483418691	0.001	999
"W1_20_W"	545	1.36177060541275	1.47316925037636	0.0149746526057696	1	-7.43914719735732	0.001	999
"W1_21_S"	556	1.41046669171006	1.4730620766952	0.0141062646150369	1	-4.43741746616745	0.001	999
"W1_21_W"	686	1.42034073047752	1.47333310613319	0.00951488146919663	1	-5.56942047331079	0.001	999
"W1_22_S"	683	1.43188016692022	1.47321229888835	0.00972694795613693	1	-4.24923955124637	0.001	999
"W1_22_W"	674	1.40601503149162	1.47347867598586	0.0101571871085326	1	-6.64196137900894	0.001	999
