"ntaxa"	"pd.obs"	"pd.rand.mean"	"pd.rand.sd"	"pd.obs.rank"	"pd.obs.z"	"pd.obs.p"	"runs"
"LC_01_S"	488	89.743258342	108.867194113874	2.40872400054692	1	-7.93944668111898	0.001	999
"LC_02_S"	641	108.872923681	128.89623019449	1.91601898549609	1	-10.4504739593205	0.001	999
"LC_02_W"	488	95.61112994	108.846239256377	2.41344151229298	1	-5.48391549949055	0.001	999
"LC_03_W"	616	115.069344794	125.931705960068	1.96827641868617	1	-5.51871732188853	0.001	999
"LC_04_W"	717	128.351122926	138.04726943183	1.59745804567732	1	-6.06973468384184	0.001	999
"LC_05_S"	615	113.298815609	125.81906757145	2.06257749745676	1	-6.07019710914543	0.001	999
"LC_05_W"	634	116.930044652	128.091766792932	2.02122023372003	1	-5.52226914945776	0.001	999
"LC_07_W"	707	119.610096579	136.870803324881	1.63905982755688	1	-10.5308582735562	0.001	999
"LC_08_S"	640	108.423897332	128.808215327191	1.96020173345992	1	-10.3990919134691	0.001	999
"LC_08_W"	588	103.28013116	122.196244644843	2.17775152623399	1	-8.68607518211902	0.001	999
"LC_09_S"	639	104.236625814	128.706645364034	2.01422949423383	1	-12.1485757308612	0.001	999
"LC_09_W"	590	97.01145122	122.514251907856	2.18555168408214	1	-11.6688161042351	0.001	999
"LC_10_S"	588	100.63167083	122.264198703434	2.10622362768248	1	-10.2707649791381	0.001	999
"LC_10_W"	534	95.281132892	115.290535375392	2.32630796543468	1	-8.60135578809902	0.001	999
"LC_11_S"	423	77.953119762	99.4673354251261	2.49031718394795	1	-8.63914677286978	0.001	999
"LC_11_W"	620	104.997139907	126.40993318625	2.03199960090014	1	-10.5377940378358	0.001	999
"LC_13_S"	475	90.005990161	107.095040827832	2.46853555126938	1	-6.92274845223283	0.001	999
"LC_13_W"	757	134.740003178	142.590749212085	1.35393642980654	1	-5.7984598547266	0.001	999
"LC_14_W"	740	125.244931067	140.692290006151	1.4838976530144	1	-10.4099894677853	0.001	999
"LC_15_W"	685	122.504463467	134.274175414448	1.74973389382591	1	-6.7265725313883	0.001	999
"LC_16_S"	694	116.073065209	135.345070321594	1.71393454786831	1	-11.244306345632	0.001	999
"LC_16_W"	671	113.721296284	132.49128799913	1.80776077914227	1	-10.3830063865175	0.001	999
"LC_17_S"	596	98.623025089	123.279665449544	2.20098078668603	1	-11.2025695588504	0.001	999
"LC_18_S"	542	97.281465814	116.247757209826	2.301307506067	1	-8.24152849883141	0.001	999
"LC_18_W"	525	98.304085288	113.982025350604	2.29030494384561	1	-6.84535048694392	0.001	999
"LC_19_S"	440	78.967043772	102.026094652485	2.52035410182365	1	-9.14913141125713	0.001	999
"LC_20_W"	600	106.627694191	123.850437127414	2.11058669942106	1	-8.1601684219552	0.001	999
"LC_21_W"	608	104.395508497	124.723338854596	2.03936116973571	1	-9.96774414422628	0.001	999
"LC_22_W"	699	116.900317607	135.88137312943	1.71710833293521	1	-11.0540815383409	0.001	999
"W1_01_S"	628	110.059260609	127.381413372924	1.97141517443094	1	-8.786658938508	0.001	999
"W1_02_S"	612	107.917314456	125.388606019647	2.07465332001212	1	-8.42130653594915	0.001	999
"W1_02_W"	707	125.362805317	136.910579055618	1.70148109768071	1	-6.78689510824326	0.001	999
"W1_03_W"	637	109.302422486	128.417065106561	1.98756321659813	1	-9.61712435656599	0.001	999
"W1_04_W"	666	113.810187938	131.967155150588	1.95636216991784	1	-9.28098462124224	0.001	999
"W1_05_S"	603	101.050334197	124.187876546909	2.1042384932144	1	-10.9956843886856	0.001	999
"W1_05_W"	677	113.869242333	133.275098140101	1.87639014328278	1	-10.3421220136822	0.001	999
"W1_06_S"	599	105.171504669	123.684446647239	2.10140403542603	1	-8.8097965294361	0.001	999
"W1_06_W"	681	117.843538487	133.770179703627	1.85866279651128	1	-8.56887072067135	0.001	999
"W1_08_S"	527	89.975851009	114.236439240682	2.30662511220455	1	-10.5177855314749	0.001	999
"W1_08_W"	638	107.418748152	128.541429235525	2.0377105766555	1	-10.3658887211516	0.001	999
"W1_10_S"	690	116.356555425	134.841820296126	1.78995496924914	1	-10.3272234155032	0.001	999
"W1_11_W"	697	121.002315279	135.713252171138	1.76230042163224	1	-8.34757610652607	0.001	999
"W1_12_S"	648	109.280665624	129.80541652501	1.97418762769225	1	-10.3965553289394	0.001	999
"W1_12_W"	688	117.720399697	134.657301555644	1.79720922382506	1	-9.42400118701611	0.001	999
"W1_13_W"	533	86.659547208	114.988402703819	2.31442520136552	1	-12.2401257466021	0.001	999
"W1_14_W"	674	118.096676441	132.875256020061	1.86564880973482	1	-7.92141559651931	0.001	999
"W1_15_W"	670	114.434619866	132.4625802968	1.87473419184358	1	-9.61627547480285	0.001	999
"W1_17_W"	350	73.502580868	87.9568832301131	2.61737451534309	1	-5.52244330239398	0.001	999
"W1_18_S"	563	94.884332566	119.188397899812	2.21167712684798	1	-10.9889753069198	0.001	999
"W1_19_S"	476	83.437882067	107.190367276166	2.39027479737725	1	-9.93713577837525	0.001	999
"W1_20_S"	439	76.24274338	101.842828307095	2.56416682785579	1	-9.98378289937648	0.001	999
