"ntaxa"	"pd.obs"	"pd.rand.mean"	"pd.rand.sd"	"pd.obs.rank"	"pd.obs.z"	"pd.obs.p"	"runs"
"LC_01_S"	488	89.743258342	88.8574425617147	1.7029734368157	704	0.520158307308428	0.704	999
"LC_02_S"	641	108.872923681	109.91048527199	1.58582278727185	247	-0.654273352178872	0.247	999
"LC_02_W"	488	95.61112994	92.7830943818899	1.88549471988426	943	1.49989046815454	0.943	999
"LC_03_W"	616	115.069344794	112.861360249497	1.82740016988773	881	1.20826548059156	0.881	999
"LC_04_W"	717	128.351122926	127.7886040917	1.12575223204887	699	0.499682628455915	0.699	999
"LC_05_S"	615	113.298815609	111.499852144563	1.52806609523276	889	1.17728118570905	0.889	999
"LC_05_W"	634	116.930044652	115.372024887645	1.55786706281076	832	1.00009801962455	0.832	999
"LC_07_W"	707	119.610096579	120.756408295306	1.2907552537523	179	-0.888093783057558	0.179	999
"LC_08_S"	640	108.423897332	109.412922881668	1.42604192855024	250	-0.693545911846467	0.25	999
"LC_08_W"	588	103.28013116	103.116345474372	1.57381055321305	557	0.104069505248423	0.557	999
"LC_09_S"	639	104.236625814	106.679770432148	1.6294231823254	43	-1.49939232769566	0.043	999
"LC_09_W"	590	97.01145122	99.3439958975736	1.70084096786061	84	-1.37140668742684	0.084	999
"LC_10_S"	588	100.63167083	101.546713571515	1.49777860870171	276	-0.610933242201726	0.276	999
"LC_10_W"	534	95.281132892	94.7266484567297	1.7188563735613	613	0.322589160909017	0.613	999
"LC_11_S"	423	77.953119762	77.6792590476947	1.73474546492911	565	0.15786795229725	0.565	999
"LC_11_W"	620	104.997139907	106.028901641407	1.57885636699827	269	-0.653486761667244	0.269	999
"LC_13_S"	475	90.005990161	88.4951313791932	1.89940979255103	781	0.795435923165177	0.781	999
"LC_13_W"	757	134.740003178	134.328614375366	0.934579502264084	655	0.440185989139523	0.655	999
"LC_14_W"	740	125.244931067	126.388667640352	1.24561382400722	194	-0.918211207445401	0.194	999
"LC_15_W"	685	122.504463467	121.96512797248	1.27103192614819	647	0.424328833465226	0.647	999
"LC_16_S"	694	116.073065209	117.976676741597	1.5962228552527	120	-1.19257253229546	0.12	999
"LC_16_W"	671	113.721296284	115.273806216136	1.68193521765054	172	-0.923049779708407	0.172	999
"LC_17_S"	596	98.623025089	100.880191604022	1.57120073022759	67	-1.4365869819161	0.067	999
"LC_18_S"	542	97.281465814	97.0077700742192	1.60119192428388	557	0.170932500738901	0.557	999
"LC_18_W"	525	98.304085288	96.6776941356807	1.8227134811446	813	0.892291174199247	0.813	999
"LC_19_S"	440	78.967043772	79.9539256278709	1.70021199122381	283	-0.58044635666904	0.283	999
"LC_20_W"	600	106.627694191	106.678759859843	1.67749547760185	500	-0.0304416134199397	0.5	999
"LC_21_W"	608	104.395508497	105.033823780004	1.57427500465444	343	-0.405466186731534	0.343	999
"LC_22_W"	699	116.900317607	118.992727318183	1.48849455550127	66	-1.40572211262039	0.066	999
"W1_01_S"	628	110.059260609	110.191362788383	1.50900852528401	463	-0.0875423678328999	0.463	999
"W1_02_S"	612	107.917314456	107.527258776033	1.54882696077113	593	0.251839417731185	0.593	999
"W1_02_W"	707	125.362805317	124.662950760703	1.1710900309691	732	0.597609524280683	0.732	999
"W1_03_W"	637	109.302422486	110.091707111873	1.49382907951611	303	-0.528363409640245	0.303	999
"W1_04_W"	666	113.810187938	114.44972662305	1.32221279522287	296	-0.483688168319574	0.296	999
"W1_05_S"	603	101.050334197	102.474464049414	1.54459908402591	168	-0.922006148483847	0.168	999
"W1_05_W"	677	113.869242333	114.989534376567	1.26973922080748	176	-0.882300889196856	0.176	999
"W1_06_S"	599	105.171504669	105.185616158449	1.573410500309	497	-0.00896872713552916	0.497	999
"W1_06_W"	681	117.843538487	118.078454337911	1.26878797672871	401	-0.185149808494078	0.401	999
"W1_08_S"	527	89.975851009	90.933059139958	1.71247684422954	302	-0.558961211173997	0.302	999
"W1_08_W"	638	107.418748152	108.573858793159	1.52555631269952	223	-0.757173387533068	0.223	999
"W1_10_S"	690	116.356555425	117.513675933985	1.27343691132673	177	-0.908659470047437	0.177	999
"W1_11_W"	697	121.002315279	121.150821466731	1.27190572253715	438	-0.116758801457782	0.438	999
"W1_12_S"	648	109.280665624	110.402969294591	1.4206867410953	195	-0.789972650638901	0.195	999
"W1_12_W"	688	117.720399697	118.232728967969	1.2710677169103	338	-0.403070004967421	0.338	999
"W1_13_W"	533	86.659547208	89.4696328056817	1.67573206804904	38	-1.67693013176821	0.038	999
"W1_14_W"	674	118.096676441	117.846650094654	1.33454201617009	566	0.187349924780847	0.566	999
"W1_15_W"	670	114.434619866	115.092308949583	1.30904502943442	313	-0.502418991550458	0.313	999
"W1_17_W"	350	73.502580868	70.3380168737878	1.94776179915858	941	1.62471817425482	0.941	999
"W1_18_S"	563	94.884332566	96.5119973634515	1.67336689595221	165	-0.97268853673913	0.165	999
"W1_19_S"	476	83.437882067	83.9334102608959	1.92864914589977	385	-0.256930191242594	0.385	999
"W1_20_S"	439	76.24274338	77.8408771108378	1.69594136933356	174	-0.942328408125244	0.174	999
"W1_20_W"	545	88.706533475	91.930546810987	1.73324548188991	25	-1.86010197036345	0.025	999
"W1_21_S"	556	97.365493469	97.5543999352583	1.58758500533833	451	-0.118989827708786	0.451	999
"W1_21_W"	686	116.125964461	117.296057953968	1.31540655198467	189	-0.889529926092082	0.189	999
"W1_22_S"	683	115.365550413	116.376904224194	1.28697687702855	207	-0.785836815910225	0.207	999
"W1_22_W"	674	113.993309577	115.039585098907	1.41715314668082	243	-0.73829389883333	0.243	999
