name,latitude,longitude
LC_01,44.2136167,-122.2524083
LC_02,44.2228278,-122.2409
LC_03,44.2308917,-122.2175722
LC_04,44.2336778,-122.2079722
LC_05,44.2331,-122.2091306
LC_06,44.2335556,-122.2099694
LC_07,44.2554778,-122.1682083
LC_08,44.2581778,-122.1806139
LC_09,44.2319222,-122.1775278
LC_10,44.2312528,-122.173975
LC_11,44.2722667,-122.1454556
LC_12,44.272075,-122.143375
LC_13,44.2291917,-122.1777667
LC_14,44.2298583,-122.1819194
LC_15,44.21895,-122.1669417
LC_16,44.2309472,-122.2137222
LC_17,44.2318,-122.1596833
LC_18,44.22225,-122.1177611
LC_19,44.2296389,-122.1240972
LC_20,44.2074778,-122.1196917
LC_21,44.2339722,-122.1471639
LC_22,44.2344389,-122.1566472
W1_01,44.207958,-122.258106
W1_02,44.207958,-122.258106
W1_03,44.208214,-122.257747
W1_04,44.207,-122.254925
W1_05,44.207,-122.254925
W1_06,44.206147,-122.255781
W1_07,44.206147,-122.255781
W1_08,44.205889,-122.254578
W1_09,44.205889,-122.254578
W1_10,44.205889,-122.254578
W1_11,44.205353,-122.252233
W1_12,44.204856,-122.249808
W1_13,44.204856,-122.249808
W1_14,44.204814,-122.249864
W1_15,44.204814,-122.249864
W1_16,44.205114,-122.249656
W1_17,44.205114,-122.249656
W1_18,44.204544,-122.249744
W1_19,44.204544,-122.249744
W1_20,44.20295,-122.249614
W1_21,44.207053,-122.256483
W1_22,44.207053,-122.256483
