Concentration,Absorbance
10,0.0905
10,0.1091
100,0.4252
100,0.438
150,0.6658
150,0.6531
200,0.8351
200,0.8208
25,0.1566
25,0.153
250,0.9907
250,1.0095
50,0.2693
50,0.2577
500,2.0505
500,2.0505
0,0.077
0,0.0714
