"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"W1_15_W"	670	0.183173118026866	0.185006874105707	0.00366982905193688	299	-0.499684332128143	0.299	999
"W1_17_W"	350	0.240359171391429	0.223745641032155	0.00943425265684812	956	1.76098001225504	0.956	999
"W1_18_S"	563	0.176110906895204	0.182106488697771	0.00521905704684278	118	-1.14878640887693	0.118	999
"W1_19_S"	476	0.194381012056723	0.192756396772642	0.00709554180092266	605	0.228962823370166	0.605	999
"W1_20_S"	439	0.184683080585421	0.190501617472983	0.00677244830674306	206	-0.859148217014595	0.206	999
"W1_20_W"	545	0.172157497899083	0.181214417134715	0.00512099373793183	32	-1.76858627429013	0.032	999
"W1_21_S"	556	0.186053059816547	0.188596388689276	0.00498701189802321	296	-0.509990536364469	0.296	999
"W1_21_W"	686	0.181640492061224	0.184348052012463	0.00325224386916099	200	-0.832520579687314	0.2	999
"W1_22_S"	683	0.181709418161054	0.183774646164336	0.00350562174688029	269	-0.58911889313767	0.269	999
"W1_22_W"	674	0.179208360964392	0.18221816307992	0.00387332865788198	226	-0.777058282777843	0.226	999
