"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"LC_01_S"	488	0.202843752930328	0.199495868904874	0.00604808797870653	706	0.553544200620195	0.706	999
"LC_02_S"	641	0.186606939921997	0.188028430049144	0.00422315691943152	370	-0.336594200562828	0.37	999
"LC_02_W"	488	0.213337538133197	0.208107803198291	0.00649935300651866	802	0.804654698653997	0.802	999
"LC_03_W"	616	0.201783999323052	0.200316522502444	0.00539588678943205	626	0.271962121866978	0.626	999
"LC_04_W"	717	0.198496152962343	0.196480919403974	0.00338421037356583	721	0.595481171652253	0.721	999
"LC_05_S"	615	0.201019431736585	0.198033067140243	0.0046381104936548	739	0.643875259209156	0.739	999
"LC_05_W"	634	0.195052575417981	0.195783337289172	0.00474829477086122	447	-0.153899853832963	0.447	999
"LC_07_W"	707	0.18100171398727	0.183665699297304	0.00329944320139376	209	-0.807404506587316	0.209	999
"LC_08_S"	640	0.179368549934375	0.18296864154589	0.00412289566609923	181	-0.873194934598175	0.181	999
"LC_08_W"	588	0.191157582896259	0.189883305254656	0.00489231766989469	607	0.260465024469663	0.607	999
"LC_09_S"	639	0.171615459186228	0.178328578663874	0.00418052380808879	51	-1.60580821586426	0.051	999
"LC_09_W"	590	0.176775106816949	0.182812732237875	0.00483427713881837	109	-1.24892000345718	0.109	999
"LC_10_S"	588	0.188428867586735	0.188998531664343	0.00471798803071968	456	-0.120743010346579	0.456	999
"LC_10_W"	534	0.191562026874532	0.191232236764847	0.00570789015340748	535	0.0577779355980973	0.535	999
"LC_11_S"	423	0.199538883761229	0.198863639978503	0.0070408595792319	527	0.0959036002816648	0.527	999
"LC_11_W"	620	0.179700906241935	0.182504130315714	0.00458373676269481	285	-0.611558695209753	0.285	999
"LC_13_S"	475	0.210988030541053	0.206497916572478	0.00698759187809915	734	0.642583889687091	0.734	999
"LC_13_W"	757	0.190729638154557	0.190919336986485	0.00239135825194879	474	-0.0793268142790616	0.474	999
"LC_14_W"	740	0.184099754714865	0.185717603130965	0.00284498602148734	295	-0.568666560707416	0.295	999
"LC_15_W"	685	0.191205522232117	0.192442779676465	0.00373742116387133	373	-0.331045763936972	0.373	999
"LC_16_S"	694	0.181400174229107	0.185770756866121	0.00367195208911785	117	-1.19026134626515	0.117	999
"LC_16_W"	671	0.179867394436662	0.184255191600135	0.00427577117715185	154	-1.02620018276942	0.154	999
"LC_17_S"	596	0.172653837578859	0.180240553919562	0.00486592868567438	46	-1.55915074609271	0.046	999
"LC_18_S"	542	0.193793024302583	0.19496414524154	0.00550238096655182	416	-0.212838941192274	0.416	999
"LC_18_W"	525	0.208230384367619	0.203776810787706	0.00611609102590212	772	0.728173200995868	0.772	999
"LC_19_S"	440	0.190457181768182	0.196153785590832	0.00674244551272295	206	-0.84488689035758	0.206	999
"LC_20_W"	600	0.189763860783333	0.192001654561411	0.00514867253090775	329	-0.434635095676506	0.329	999
"LC_21_W"	608	0.187071318842105	0.188434607188266	0.00482260080461247	397	-0.282687371688825	0.397	999
"LC_22_W"	699	0.178358633818312	0.183096012994126	0.00368463224343595	98	-1.28571289149774	0.098	999
"W1_01_S"	628	0.191199103541401	0.192242352849223	0.00414475072560352	396	-0.251703751778762	0.396	999
"W1_02_S"	612	0.195002865285948	0.192826398086426	0.00452521194371695	694	0.4809646988012	0.694	999
"W1_02_W"	707	0.194724800591231	0.192893005084282	0.00297980561317633	722	0.614736578402383	0.722	999
"W1_03_W"	637	0.187155572122449	0.188204082142227	0.00428309323340139	409	-0.244802053712323	0.409	999
"W1_04_W"	666	0.186445198803303	0.186879566288565	0.00378666532731256	449	-0.114709763793628	0.449	999
"W1_05_S"	603	0.178723915086235	0.18280159816442	0.00460005589865108	184	-0.886442071145278	0.184	999
"W1_05_W"	677	0.180715158146233	0.183202921939697	0.00344371017805299	235	-0.72240800323987	0.235	999
"W1_06_S"	599	0.194976199776294	0.19378933306703	0.00499236205644902	607	0.237736505454437	0.607	999
"W1_06_W"	681	0.185777068718062	0.186770395947476	0.00352270540559181	382	-0.281978512264367	0.382	999
"W1_08_S"	527	0.183789413491461	0.18650946328549	0.00570803928344663	333	-0.476529620585739	0.333	999
"W1_08_W"	638	0.180483127968652	0.183325195973339	0.00402853566542938	256	-0.70548413635146	0.256	999
"W1_10_S"	690	0.1795626688	0.182672882344014	0.00337668503423538	174	-0.921084884281446	0.174	999
"W1_11_W"	697	0.191635790199426	0.1909439429446	0.00324180079410814	571	0.213414487430337	0.571	999
"W1_12_S"	648	0.183641367070988	0.18581364982465	0.00400991856877053	288	-0.541727398301916	0.288	999
"W1_12_W"	688	0.188446498873547	0.188351685049183	0.00351202098158058	521	0.026996941322638	0.521	999
"W1_13_W"	533	0.177775068356473	0.184351894935057	0.00549352988034906	104	-1.19719501337568	0.104	999
"W1_14_W"	674	0.192818657642433	0.191685797781165	0.00352528628746257	614	0.321352584979191	0.614	999
