"PD"	"SR"	"PDavg"
"LC_01_S"	272.83257555	1764	0.154666992942177
"LC_02_S"	549.882429042	4344	0.126584352910221
"LC_02_W"	370.327174623	2277	0.162638197023715
"LC_03_W"	578.704098158	4204	0.137655589476213
"LC_04_W"	956.832630809	8526	0.112225267512198
"LC_05_S"	502.053079579	3410	0.147229642105279
"LC_05_W"	512.538907515	3479	0.147323629639264
"LC_07_W"	833.023605851	7281	0.114410603742755
"LC_08_S"	643.801823872	5619	0.114575871840541
"LC_08_W"	487.058126824	3345	0.145607810709716
"LC_09_S"	790.524264694	7771	0.101727482266632
"LC_09_W"	399.689510486	3279	0.121893720794755
"LC_10_S"	542.312802341	4477	0.12113308071052
"LC_10_W"	395.988112259	2578	0.15360283640768
"LC_11_S"	295.925660514	2035	0.145418014994595
"LC_11_W"	785.623259287	6907	0.113743051873027
"LC_13_S"	268.146059146	1656	0.161923948759662
"LC_13_W"	1247.113144139	12371	0.100809404586452
"LC_14_W"	1251.244259958	13206	0.0947481644675148
"LC_15_W"	822.548867013	6958	0.118216278673901
"LC_16_S"	842.829352675	7962	0.105856487399523
"LC_16_W"	808.466058276	7010	0.115330393477318
"LC_17_S"	454.769463802	3097	0.146841932128511
"LC_18_S"	453.383212165	3465	0.130846525877345
"LC_18_W"	416.206911138	2676	0.155533225387892
"LC_19_S"	306.569866132	2134	0.143659731083411
"LC_20_W"	684.496673348	5610	0.122013667263458
"LC_21_W"	509.945906549	3666	0.139101447503819
"LC_22_W"	935.843893097	8505	0.110034555331805
"W1_01_S"	575.512719893	4717	0.122008208584482
"W1_02_S"	496.614865038	3818	0.130071991890519
"W1_02_W"	950.608952243	8500	0.111836347322706
"W1_03_W"	601.670900452	4692	0.12823335474254
"W1_04_W"	672.405315739	5499	0.122277744269685
"W1_05_S"	479.699488319	3820	0.125575782282461
"W1_05_W"	786.586523832	6684	0.117682005360862
"W1_06_S"	389.603990156	2877	0.135420225984011
"W1_06_W"	879.285557881	7982	0.110158551475946
"W1_08_S"	384.122843505	2592	0.148195541475694
"W1_08_W"	687.904619825	5677	0.121173968614585
"W1_10_S"	677.639170808	6199	0.109314271787062
"W1_11_W"	891.564679682	8098	0.110096897960237
"W1_12_S"	558.002081906	4541	0.122880881282977
"W1_12_W"	701.550374888	6054	0.115882123370994
"W1_13_W"	312.880469189	2232	0.140179421679659
"W1_14_W"	762.466063897	6338	0.120300735862575
"W1_15_W"	745.190229123	6167	0.120835127148208
"W1_17_W"	173.986113532	874	0.199068779784897
"W1_18_S"	416.841694194	3166	0.131661937521794
"W1_19_S"	304.745681609	2155	0.141413309331322
"W1_20_S"	297.258751893	1972	0.150739732197262
"W1_20_W"	502.193571782	4470	0.112347555208501
"W1_21_S"	374.15799013	2801	0.133580146422706
"W1_21_W"	761.265778492	6894	0.110424394907456
"W1_22_S"	721.974892174	6638	0.108763918676409
"W1_22_W"	711.273121488	6061	0.117352437137106
