"LC_02_S" "LC_03_W" "LC_04_W" "LC_05_S" "LC_05_W" "LC_07_W" "LC_08_S" "LC_08_W" "LC_09_S" "LC_09_W" "LC_10_S" "LC_10_W" "LC_11_W" "LC_13_W" "LC_14_W" "LC_15_W" "LC_16_S" "LC_16_W" "LC_17_S" "LC_18_S" "LC_18_W" "LC_19_S" "LC_20_W" "LC_21_W" "LC_22_W" "W1_01_S" "W1_02_S" "W1_02_W" "W1_03_W" "W1_04_W" "W1_05_S" "W1_05_W" "W1_06_S" "W1_06_W" "W1_08_S" "W1_08_W" "W1_10_S" "W1_11_W" "W1_12_S" "W1_12_W" "W1_14_W" "W1_15_W" "W1_17_W" "W1_18_S" "W1_19_S" "W1_20_W" "W1_21_S" "W1_21_W" "W1_22_S" "W1_22_W"
"LC_02_S" 0 2780 3650 3593 3593 8433 8047 8047 6703 6703 6922 6922 11576 6588 6294 8448 3308 3308 8408 12605 12605 11651 14760 9630 8680 2919 2920 2920 2993 3182 3182 3182 3182 3182 3292 3292 3292 3509 3724 3724 3736 3736 3766 3771 3771 4016 3081 3081 3081 3081
"LC_03_W" 2780 0 870 813 813 5653 5267 5267 3923 3923 4142 4142 8796 3808 3514 5668 528 528 5628 9825 9825 8871 11980 6850 5900 5699 5700 5700 5773 5962 5962 5962 5962 5962 6072 6072 6072 6289 6504 6504 6516 6516 6546 6551 6551 6796 5861 5861 5861 5861
"LC_04_W" 3650 870 0 139 139 4783 4397 4397 3249 3249 3468 3468 7926 3134 2840 4994 778 778 4954 9151 9151 8197 11306 6176 5226 6618 6619 6619 6692 6881 6881 6881 6881 6881 6991 6991 6991 7208 7423 7423 7435 7435 7465 7470 7470 7715 6780 6780 6780 6780
"LC_05_S" 3593 813 139 0 0 4922 4536 4536 3110 3110 3329 3329 8065 2995 2701 4855 639 639 4815 9012 9012 8058 11167 6037 5087 6757 6758 6758 6831 7020 7020 7020 7020 7020 7130 7130 7130 7347 7562 7562 7574 7574 7604 7609 7609 7854 6919 6919 6919 6919
"LC_05_W" 3593 813 139 0 0 4922 4536 4536 3110 3110 3329 3329 8065 2995 2701 4855 639 639 4815 9012 9012 8058 11167 6037 5087 6757 6758 6758 6831 7020 7020 7020 7020 7020 7130 7130 7130 7347 7562 7562 7574 7574 7604 7609 7609 7854 6919 6919 6919 6919
"LC_07_W" 8433 5653 4783 4922 4922 0 3000 3000 8032 8032 8251 8251 3143 7917 7623 9777 5561 5561 9737 13934 13934 12980 16089 10959 10009 11401 11402 11402 11475 11664 11664 11664 11664 11664 11774 11774 11774 11991 12206 12206 12218 12218 12248 12253 12253 12498 11563 11563 11563 11563
"LC_08_S" 8047 5267 4397 4536 4536 3000 0 0 7646 7646 7865 7865 6143 7531 7237 9391 5175 5175 9351 13548 13548 12594 15703 10573 9623 11015 11016 11016 11089 11278 11278 11278 11278 11278 11388 11388 11388 11605 11820 11820 11832 11832 11862 11867 11867 12112 11177 11177 11177 11177
"LC_08_W" 8047 5267 4397 4536 4536 3000 0 0 7646 7646 7865 7865 6143 7531 7237 9391 5175 5175 9351 13548 13548 12594 15703 10573 9623 11015 11016 11016 11089 11278 11278 11278 11278 11278 11388 11388 11388 11605 11820 11820 11832 11832 11862 11867 11867 12112 11177 11177 11177 11177
"LC_09_S" 6703 3923 3249 3110 3110 8032 7646 7646 0 0 469 469 11175 368 674 2284 3749 3749 2255 6452 6452 5498 8607 3477 2527 9622 9623 9623 9696 9885 9885 9885 9885 9885 9995 9995 9995 10212 10427 10427 10439 10439 10469 10474 10474 10719 9784 9784 9784 9784
"LC_09_W" 6703 3923 3249 3110 3110 8032 7646 7646 0 0 469 469 11175 368 674 2284 3749 3749 2255 6452 6452 5498 8607 3477 2527 9622 9623 9623 9696 9885 9885 9885 9885 9885 9995 9995 9995 10212 10427 10427 10439 10439 10469 10474 10474 10719 9784 9784 9784 9784
