"LC_02_S" "LC_03_W" "LC_04_W" "LC_05_S" "LC_05_W" "LC_07_W" "LC_08_S" "LC_08_W" "LC_09_S" "LC_09_W" "LC_10_S" "LC_10_W" "LC_11_W" "LC_13_W" "LC_14_W" "LC_15_W" "LC_16_S" "LC_16_W" "LC_17_S" "LC_18_S" "LC_18_W" "LC_19_S" "LC_20_W" "LC_21_W" "LC_22_W" "W1_01_S" "W1_02_S" "W1_02_W" "W1_03_W" "W1_04_W" "W1_05_S" "W1_05_W" "W1_06_S" "W1_06_W" "W1_08_S" "W1_08_W" "W1_10_S" "W1_11_W" "W1_12_S" "W1_12_W" "W1_14_W" "W1_15_W" "W1_17_W" "W1_18_S" "W1_19_S" "W1_20_W" "W1_21_S" "W1_21_W" "W1_22_S" "W1_22_W"
"LC_10_S" 6922 4142 3468 3329 3329 8251 7865 7865 469 469 0 0 11394 586 891 2488 3968 3968 2459 6656 6656 5702 8811 3681 2731 9841 9842 9842 9915 10104 10104 10104 10104 10104 10214 10214 10214 10431 10646 10646 10658 10658 10688 10693 10693 10938 10003 10003 10003 10003
"LC_10_W" 6922 4142 3468 3329 3329 8251 7865 7865 469 469 0 0 11394 586 891 2488 3968 3968 2459 6656 6656 5702 8811 3681 2731 9841 9842 9842 9915 10104 10104 10104 10104 10104 10214 10214 10214 10431 10646 10646 10658 10658 10688 10693 10693 10938 10003 10003 10003 10003
"LC_11_W" 11576 8796 7926 8065 8065 3143 6143 6143 11175 11175 11394 11394 0 11060 10766 12920 8704 8704 12880 17077 17077 16123 19232 14102 13152 14495 14496 14496 14569 14758 14758 14758 14758 14758 14868 14868 14868 15085 15300 15300 15312 15312 15342 15347 15347 15592 14657 14657 14657 14657
"LC_13_W" 6588 3808 3134 2995 2995 7917 7531 7531 368 368 586 586 11060 0 482 1906 3634 3634 1877 6074 6074 5120 8229 3099 2149 9507 9508 9508 9581 9770 9770 9770 9770 9770 9880 9880 9880 10097 10312 10312 10324 10324 10354 10359 10359 10604 9669 9669 9669 9669
"LC_14_W" 6294 3514 2840 2701 2701 7623 7237 7237 674 674 891 891 10766 482 0 2413 3340 3340 2384 6581 6581 5627 8736 3606 2656 9213 9214 9214 9287 9476 9476 9476 9476 9476 9586 9586 9586 9803 10018 10018 10030 10030 10060 10065 10065 10310 9375 9375 9375 9375
"LC_15_W" 8448 5668 4994 4855 4855 9777 9391 9391 2284 2284 2488 2488 12920 1906 2413 0 5494 5494 2011 6208 6208 5254 8363 3233 2283 11367 11368 11368 11441 11630 11630 11630 11630 11630 11740 11740 11740 11957 12172 12172 12184 12184 12214 12219 12219 12464 11529 11529 11529 11529
"LC_16_S" 3308 528 778 639 639 5561 5175 5175 3749 3749 3968 3968 8704 3634 3340 5494 0 0 5454 9651 9651 8697 11806 6676 5726 6227 6228 6228 6301 6490 6490 6490 6490 6490 6600 6600 6600 6817 7032 7032 7044 7044 7074 7079 7079 7324 6389 6389 6389 6389
"LC_16_W" 3308 528 778 639 639 5561 5175 5175 3749 3749 3968 3968 8704 3634 3340 5494 0 0 5454 9651 9651 8697 11806 6676 5726 6227 6228 6228 6301 6490 6490 6490 6490 6490 6600 6600 6600 6817 7032 7032 7044 7044 7074 7079 7079 7324 6389 6389 6389 6389
"LC_17_S" 8408 5628 4954 4815 4815 9737 9351 9351 2255 2255 2459 2459 12880 1877 2384 2011 5454 5454 0 4197 4197 3243 6352 1222 272 11327 11328 11328 11401 11590 11590 11590 11590 11590 11700 11700 11700 11917 12132 12132 12144 12144 12174 12179 12179 12424 11489 11489 11489 11489
"LC_18_S" 12605 9825 9151 9012 9012 13934 13548 13548 6452 6452 6656 6656 17077 6074 6581 6208 9651 9651 4197 0 0 1474 2155 3311 4154 15524 15525 15525 15598 15787 15787 15787 15787 15787 15897 15897 15897 16114 16329 16329 16341 16341 16371 16376 16376 16621 15686 15686 15686 15686
"LC_18_W" 12605 9825 9151 9012 9012 13934 13548 13548 6452 6452 6656 6656 17077 6074 6581 6208 9651 9651 4197 0 0 1474 2155 3311 4154 15524 15525 15525 15598 15787 15787 15787 15787 15787 15897 15897 15897 16114 16329 16329 16341 16341 16371 16376 16376 16621 15686 15686 15686 15686
"LC_19_S" 11651 8871 8197 8058 8058 12980 12594 12594 5498 5498 5702 5702 16123 5120 5627 5254 8697 8697 3243 1474 1474 0 3629 2517 3359 14570 14571 14571 14644 14833 14833 14833 14833 14833 14943 14943 14943 15160 15375 15375 15387 15387 15417 15422 15422 15667 14732 14732 14732 14732
"LC_20_W" 14760 11980 11306 11167 11167 16089 15703 15703 8607 8607 8811 8811 19232 8229 8736 8363 11806 11806 6352 2155 2155 3629 0 5466 6309 17679 17680 17680 17753 17942 17942 17942 17942 17942 18052 18052 18052 18269 18484 18484 18496 18496 18526 18531 18531 18776 17841 17841 17841 17841
"LC_21_W" 9630 6850 6176 6037 6037 10959 10573 10573 3477 3477 3681 3681 14102 3099 3606 3233 6676 6676 1222 3311 3311 2517 5466 0 1154 12549 12550 12550 12623 12812 12812 12812 12812 12812 12922 12922 12922 13139 13354 13354 13366 13366 13396 13401 13401 13646 12711 12711 12711 12711
"LC_22_W" 8680 5900 5226 5087 5087 10009 9623 9623 2527 2527 2731 2731 13152 2149 2656 2283 5726 5726 272 4154 4154 3359 6309 1154 0 11599 11600 11600 11673 11862 11862 11862 11862 11862 11972 11972 11972 12189 12404 12404 12416 12416 12446 12451 12451 12696 11761 11761 11761 11761
"W1_01_S" 2919 5699 6618 6757 6757 11401 11015 11015 9622 9622 9841 9841 14495 9507 9213 11367 6227 6227 11327 15524 15524 14570 17679 12549 11599 0 1 1 74 263 263 263 263 263 373 373 373 590 805 805 817 817 847 852 852 1097 162 162 162 162
"W1_02_S" 2920 5700 6619 6758 6758 11402 11016 11016 9623 9623 9842 9842 14496 9508 9214 11368 6228 6228 11328 15525 15525 14571 17680 12550 11600 1 0 0 74 263 263 263 263 263 373 373 373 590 805 805 817 817 847 852 852 1097 162 162 162 162
"W1_02_W" 2920 5700 6619 6758 6758 11402 11016 11016 9623 9623 9842 9842 14496 9508 9214 11368 6228 6228 11328 15525 15525 14571 17680 12550 11600 1 0 0 74 263 263 263 263 263 373 373 373 590 805 805 817 817 847 852 852 1097 162 162 162 162
"W1_03_W" 2993 5773 6692 6831 6831 11475 11089 11089 9696 9696 9915 9915 14569 9581 9287 11441 6301 6301 11401 15598 15598 14644 17753 12623 11673 74 74 74 0 189 189 189 189 189 299 299 299 516 731 731 743 743 773 778 778 1023 88 88 88 88
"W1_04_W" 3182 5962 6881 7020 7020 11664 11278 11278 9885 9885 10104 10104 14758 9770 9476 11630 6490 6490 11590 15787 15787 14833 17942 12812 11862 263 263 263 189 0 1 1 5 5 110 110 110 327 542 542 554 554 584 589 589 834 101 101 101 101
"W1_05_S" 3182 5962 6881 7020 7020 11664 11278 11278 9885 9885 10104 10104 14758 9770 9476 11630 6490 6490 11590 15787 15787 14833 17942 12812 11862 263 263 263 189 1 0 0 5 5 110 110 110 327 542 542 554 554 584 589 589 834 101 101 101 101
"W1_05_W" 3182 5962 6881 7020 7020 11664 11278 11278 9885 9885 10104 10104 14758 9770 9476 11630 6490 6490 11590 15787 15787 14833 17942 12812 11862 263 263 263 189 1 0 0 5 5 110 110 110 327 542 542 554 554 584 589 589 834 101 101 101 101
"W1_06_S" 3182 5962 6881 7020 7020 11664 11278 11278 9885 9885 10104 10104 14758 9770 9476 11630 6490 6490 11590 15787 15787 14833 17942 12812 11862 263 263 263 189 5 5 5 0 0 110 110 110 327 542 542 554 554 584 589 589 834 101 101 101 101
"W1_06_W" 3182 5962 6881 7020 7020 11664 11278 11278 9885 9885 10104 10104 14758 9770 9476 11630 6490 6490 11590 15787 15787 14833 17942 12812 11862 263 263 263 189 5 5 5 0 0 110 110 110 327 542 542 554 554 584 589 589 834 101 101 101 101
"W1_08_S" 3292 6072 6991 7130 7130 11774 11388 11388 9995 9995 10214 10214 14868 9880 9586 11740 6600 6600 11700 15897 15897 14943 18052 12922 11972 373 373 373 299 110 110 110 110 110 0 0 1 217 432 432 444 444 474 479 479 724 211 211 211 211
"W1_08_W" 3292 6072 6991 7130 7130 11774 11388 11388 9995 9995 10214 10214 14868 9880 9586 11740 6600 6600 11700 15897 15897 14943 18052 12922 11972 373 373 373 299 110 110 110 110 110 0 0 1 217 432 432 444 444 474 479 479 724 211 211 211 211
"W1_10_S" 3292 6072 6991 7130 7130 11774 11388 11388 9995 9995 10214 10214 14868 9880 9586 11740 6600 6600 11700 15897 15897 14943 18052 12922 11972 373 373 373 299 110 110 110 110 110 1 1 0 217 432 432 444 444 474 479 479 724 211 211 211 211
"W1_11_W" 3509 6289 7208 7347 7347 11991 11605 11605 10212 10212 10431 10431 15085 10097 9803 11957 6817 6817 11917 16114 16114 15160 18269 13139 12189 590 590 590 516 327 327 327 327 327 217 217 217 0 215 215 227 227 257 262 262 507 428 428 428 428
"W1_12_S" 3724 6504 7423 7562 7562 12206 11820 11820 10427 10427 10646 10646 15300 10312 10018 12172 7032 7032 12132 16329 16329 15375 18484 13354 12404 805 805 805 731 542 542 542 542 542 432 432 432 215 0 0 12 12 42 47 47 292 643 643 643 643
"W1_12_W" 3724 6504 7423 7562 7562 12206 11820 11820 10427 10427 10646 10646 15300 10312 10018 12172 7032 7032 12132 16329 16329 15375 18484 13354 12404 805 805 805 731 542 542 542 542 542 432 432 432 215 0 0 12 12 42 47 47 292 643 643 643 643
"W1_14_W" 3736 6516 7435 7574 7574 12218 11832 11832 10439 10439 10658 10658 15312 10324 10030 12184 7044 7044 12144 16341 16341 15387 18496 13366 12416 817 817 817 743 554 554 554 554 554 444 444 444 227 12 12 0 1 30 35 35 280 655 655 655 655
"W1_15_W" 3736 6516 7435 7574 7574 12218 11832 11832 10439 10439 10658 10658 15312 10324 10030 12184 7044 7044 12144 16341 16341 15387 18496 13366 12416 817 817 817 743 554 554 554 554 554 444 444 444 227 12 12 1 0 30 35 35 280 655 655 655 655
"W1_17_W" 3766 6546 7465 7604 7604 12248 11862 11862 10469 10469 10688 10688 15342 10354 10060 12214 7074 7074 12174 16371 16371 15417 18526 13396 12446 847 847 847 773 584 584 584 584 584 474 474 474 257 42 42 30 30 0 35 35 250 685 685 685 685
"W1_18_S" 3771 6551 7470 7609 7609 12253 11867 11867 10474 10474 10693 10693 15347 10359 10065 12219 7079 7079 12179 16376 16376 15422 18531 13401 12451 852 852 852 778 589 589 589 589 589 479 479 479 262 47 47 35 35 35 0 1 315 685 685 685 685
"W1_19_S" 3771 6551 7470 7609 7609 12253 11867 11867 10474 10474 10693 10693 15347 10359 10065 12219 7079 7079 12179 16376 16376 15422 18531 13401 12451 852 852 852 778 589 589 589 589 589 479 479 479 262 47 47 35 35 35 1 0 315 685 685 685 685
"W1_20_W" 4016 6796 7715 7854 7854 12498 12112 12112 10719 10719 10938 10938 15592 10604 10310 12464 7324 7324 12424 16621 16621 15667 18776 13646 12696 1097 1097 1097 1023 834 834 834 834 834 724 724 724 507 292 292 280 280 250 315 315 0 935 935 935 935
"W1_21_S" 3081 5861 6780 6919 6919 11563 11177 11177 9784 9784 10003 10003 14657 9669 9375 11529 6389 6389 11489 15686 15686 14732 17841 12711 11761 162 162 162 88 101 101 101 101 101 211 211 211 428 643 643 655 655 685 685 685 935 0 0 1 1
"W1_21_W" 3081 5861 6780 6919 6919 11563 11177 11177 9784 9784 10003 10003 14657 9669 9375 11529 6389 6389 11489 15686 15686 14732 17841 12711 11761 162 162 162 88 101 101 101 101 101 211 211 211 428 643 643 655 655 685 685 685 935 0 0 1 1
"W1_22_S" 3081 5861 6780 6919 6919 11563 11177 11177 9784 9784 10003 10003 14657 9669 9375 11529 6389 6389 11489 15686 15686 14732 17841 12711 11761 162 162 162 88 101 101 101 101 101 211 211 211 428 643 643 655 655 685 685 685 935 1 1 0 0
"W1_22_W" 3081 5861 6780 6919 6919 11563 11177 11177 9784 9784 10003 10003 14657 9669 9375 11529 6389 6389 11489 15686 15686 14732 17841 12711 11761 162 162 162 88 101 101 101 101 101 211 211 211 428 643 643 655 655 685 685 685 935 1 1 0 0
