"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"LC_01_S"	488	0.202843752930328	0.202784904200434	0.00127103723103929	506	0.0462997687689237	0.506	999
"LC_02_S"	641	0.186606939921997	0.186704775643055	0.000897715749135625	486	-0.108982961647091	0.486	999
"LC_02_W"	488	0.213337538133197	0.213307717744609	0.00134536897235166	480.5	0.0221652120720798	0.4805	999
"LC_03_W"	616	0.201783999323052	0.201776343500372	0.0011002041492372	517	0.00695854736152056	0.517	999
"LC_04_W"	717	0.198496152962343	0.198438350106429	0.000578913220198221	537	0.0998471858955126	0.537	999
"LC_05_S"	615	0.201019431736585	0.200924238042991	0.000900156326517636	531	0.105752401877454	0.531	999
"LC_05_W"	634	0.195052575417981	0.195102257164036	0.00098789808449808	494	-0.0502903556903394	0.494	999
"LC_07_W"	707	0.18100171398727	0.181094948419343	0.000584049568581329	473	-0.159634450718388	0.473	999
"LC_08_S"	640	0.179368549934375	0.179486449254722	0.000699509801344807	445.5	-0.168545630268841	0.4455	999
"LC_08_W"	588	0.191157582896259	0.19107989119471	0.00094389070817412	515	0.0823100607683331	0.515	999
"LC_09_S"	639	0.171615459186228	0.171846353306045	0.000896687168197149	419	-0.257496848405281	0.419	999
"LC_09_W"	590	0.176775106816949	0.17698192711546	0.00099342743963677	445.5	-0.208188630853603	0.4455	999
"LC_10_S"	588	0.188428867586735	0.188468462947461	0.000971757362584478	489	-0.0407461391607688	0.489	999
"LC_10_W"	534	0.191562026874532	0.191591537500388	0.00115398464470588	487	-0.0255728063554124	0.487	999
"LC_11_S"	423	0.199538883761229	0.199429397843049	0.00154320004041646	500.5	0.0709473271858087	0.5005	999
"LC_11_W"	620	0.179700906241935	0.179775507831976	0.000909075441819712	470	-0.0820631452662422	0.47	999
"LC_13_S"	475	0.210988030541053	0.210907449473819	0.00153043362232676	496	0.0526524418034143	0.496	999
"LC_13_W"	757	0.190729638154557	0.190753530710301	0.000456344878161978	502.5	-0.0523563578484105	0.5025	999
"LC_14_W"	740	0.184099754714865	0.184147178018251	0.000487901585252001	488	-0.0971985023604979	0.488	999
"LC_15_W"	685	0.191205522232117	0.191199624516474	0.000755364309598072	511.5	0.00780777641691744	0.5115	999
"LC_16_S"	694	0.181400174229107	0.181525724121255	0.000723176827618719	465.5	-0.17360884275295	0.4655	999
"LC_16_W"	671	0.179867394436662	0.180043371562133	0.000887827722223341	455.5	-0.19821089279635	0.4555	999
