"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"LC_17_S"	596	0.172653837578859	0.172869315305549	0.00103430711150432	460.5	-0.208330508698126	0.4605	999
"LC_18_S"	542	0.193793024302583	0.193886544683922	0.00112340880811562	464.5	-0.0832469717731335	0.4645	999
"LC_18_W"	525	0.208230384367619	0.20809889788825	0.00132988099154381	537	0.0988708615319436	0.537	999
"LC_19_S"	440	0.190457181768182	0.190610070845873	0.00127633316875386	478	-0.119787749338668	0.478	999
"LC_20_W"	600	0.189763860783333	0.189859477626226	0.00108703714182895	480	-0.0879609713537582	0.48	999
"LC_21_W"	608	0.187071318842105	0.187103489552548	0.000994365917948701	492	-0.0323529898417149	0.492	999
"LC_22_W"	699	0.178358633818312	0.178554588782641	0.000782509145216227	449.5	-0.250418752965494	0.4495	999
"W1_01_S"	628	0.191199103541401	0.1912237181713	0.000832704035207169	488.5	-0.0295598782499911	0.4885	999
"W1_02_S"	612	0.195002865285948	0.194893481522505	0.000947265769755798	524.5	0.115473151184791	0.5245	999
"W1_02_W"	707	0.194724800591231	0.194646141660525	0.000543453776450606	528	0.144738953181143	0.528	999
"W1_03_W"	637	0.187155572122449	0.187196376739634	0.000861694817642081	495.5	-0.0473539080774925	0.4955	999
"W1_04_W"	666	0.186445198803303	0.186446374176824	0.00072098081767816	487	-0.00163024243067093	0.487	999
"W1_05_S"	603	0.178723915086235	0.178789161326096	0.000930551142502496	472.5	-0.0701156947533596	0.4725	999
"W1_05_W"	677	0.180715158146233	0.180758851468096	0.000649939683158408	479	-0.0672267334872722	0.479	999
"W1_06_S"	599	0.194976199776294	0.195008173887727	0.000955064896988891	491	-0.0334784699285228	0.491	999
"W1_06_W"	681	0.185777068718062	0.185797171700198	0.000604839534740807	490.5	-0.0332368851267726	0.4905	999
"W1_08_S"	527	0.183789413491461	0.18389403155618	0.00127136625534896	440.5	-0.0822879042755893	0.4405	999
"W1_08_W"	638	0.180483127968652	0.180557731504925	0.000694080819071816	471	-0.107485373782142	0.471	999
"W1_10_S"	690	0.1795626688	0.179634545199938	0.00060928625786457	455.5	-0.117968194768617	0.4555	999
"W1_11_W"	697	0.191635790199426	0.191623492754093	0.000629144298814289	508	0.0195463033784261	0.508	999
"W1_12_S"	648	0.183641367070988	0.183709073197685	0.000702277449216902	468	-0.0964093703609291	0.468	999
"W1_12_W"	688	0.188446498873547	0.188417025140984	0.000661825345683378	521.5	0.0445340039554985	0.5215	999
"W1_13_W"	533	0.177775068356473	0.177992651705278	0.00107061636392783	442.5	-0.20323185422502	0.4425	999
"W1_14_W"	674	0.192818657642433	0.192803278341751	0.000620928153661588	506	0.024768245071991	0.506	999
"W1_15_W"	670	0.183173118026866	0.183205694245607	0.000697812134197	457	-0.0466833652564693	0.457	999
"W1_17_W"	350	0.240359171391429	0.239822047282288	0.00223511297494389	595.5	0.240311838892189	0.5955	999
"W1_18_S"	563	0.176110906895204	0.17632466783731	0.00108099388869958	442.5	-0.197744820151262	0.4425	999
"W1_19_S"	476	0.194381012056723	0.194261373017928	0.00141565022878687	514.5	0.0845117221487728	0.5145	999
"W1_20_S"	439	0.184683080585421	0.184962167720668	0.00145097418938917	431.5	-0.19234465870435	0.4315	999
"W1_20_W"	545	0.172157497899083	0.172469525455558	0.00113560513794607	421.5	-0.274767651227874	0.4215	999
"W1_21_S"	556	0.186053059816547	0.186078743809738	0.00101057143657408	461	-0.0254153167816606	0.461	999
"W1_21_W"	686	0.181640492061224	0.181758245546561	0.000572340125613973	444	-0.205740398177288	0.444	999
"W1_22_S"	683	0.181709418161054	0.181774429385771	0.000589062749642359	452.5	-0.110363836036375	0.4525	999
"W1_22_W"	674	0.179208360964392	0.179303468743108	0.000661439865301973	467	-0.143789002909565	0.467	999
