edge,weight
1,0
2,0
3,0
4,0
6,0
7,0
8,0
9,0
10,4922
11,3593
12,3308
13,3110
14,3329
15,4815
16,3243
17,4197
18,1
19,47
20,432
21,1
22,110
23,5
24,101
25,1
26,162
27,1
