edge,weight
1,0
2,110
3,0
4,30
5,1
6,12
7,215
8,327
9,5
10,1
11,101
12,1
13,88
14,74
15,0
16,3143
17,4783
18,870
19,0
20,4397
21,0
22,2701
23,813
24,0
25,528
26,0
27,3110
28,0
29,3329
30,0
31,2149
32,2995
33,0
34,3099
35,0
36,1906
37,0
38,2155
39,6074
