Name,Date,Time,Latitude,Longitude,Elevation,Habitat,Temperature,SpCond,Conductivity,TDS,Salinity,pH,ORP
LC-01,4-Jun-15,11:59,44.2136167,-122.2524083,564,,14.34,40,32,0.026,0.02,7,40.5
LC-02,4-Jun-15,13:43,44.2228278,-122.2409,486,,14.15,39,31,0.026,0.02,7.18,47.6
LC-03,4-Jun-15,15:32,44.2308917,-122.2175722,542,,14.65,38,31,0.025,0.02,7.21,53.6
LC-04,5-Jun-15,11:28,44.2336778,-122.2079722,542,,12.61,35,27,0.023,0.02,7.09,57.8
LC-05,5-Jun-15,12:46,44.2331,-122.2091306,553,,12.27,39,30,0.026,0.02,7.17,53.7
LC-06,5-Jun-15,13:49,44.2335556,-122.2099694,544,,12.5,38,29,0.025,0.02,7.01,60.9
LC-07,7-Jun-15,12:53,44.2554778,-122.1682083,867,,13.3,31,24,0.02,0.01,6.86,35.6
LC-08,7-Jun-15,13:37,44.2581778,-122.1806139,803,,14.5,47,38,0.031,0.02,6.98,43.2
LC-09,8-Jun-15,11:04,44.2319222,-122.1775278,673,,14.45,55,44,0.036,0.02,6.8,21
LC-10,8-Jun-15,11:24,44.2312528,-122.173975,680,,13.95,45,36,0.029,0.02,7.1,-12
LC-11,8-Jun-15,12:29,44.2722667,-122.1454556,1215,,10.3,21,15,0.014,0.01,7.29,1.2
LC-12,8-Jun-15,14:42,44.272075,-122.143375,1230,,11.19,34,25,0.022,0.01,6.61,25.6
LC-13,9-Jun-15,12:40,44.2291917,-122.1777667,626,,12.53,42,32,0.027,0.02,7.1,48.6
LC-14,9-Jun-15,14:02,44.2298583,-122.1819194,638,,14.28,35,28,0.023,0.02,7.21,29.8
LC-15,9-Jun-15,14:46,44.21895,-122.1669417,745,,14.87,37,29,0.024,0.02,7.12,37.5
LC-16,9-Jun-15,15:45,44.2309472,-122.2137222,554,,18.12,59,52,0.039,0.03,7.19,26.4
LC-17,9-Jun-15,17:07,44.2318,-122.1596833,739,,14.64,46,37,0.03,0.02,7.23,33
LC-18,9-Jun-15,17:40,44.22225,-122.1177611,922,,13.89,21,17,0.014,0.01,7.24,32.4
LC-19,10-Jun-15,12:28,44.2296389,-122.1240972,932,,7.69,55,37,0.036,0.02,6.35,42.9
LC-20,10-Jun-15,12:39,44.2074778,-122.1196917,1210,,11.99,19,14,0.012,0.01,6.94,-16.1
LC-21,10-Jun-15,16:03,44.2339722,-122.1471639,803,,10.97,56,41,0.037,0.03,6.54,32.1
LC-22,10-Jun-15,16:24,44.2344389,-122.1566472,783,,12.55,55,42,0.036,0.03,6.95,14.9
WS01-01,29-May-15,12:53,44.207958,-122.258106,,Pool,14.83,40,32,0.026,0.02,7.35,11
WS01-02,29-May-15,12:53,44.207958,-122.258106,,Riffle,15.57,30,25,0.02,0.01,7.33,25.2
WS01-03,28-May-15,12:07,44.208214,-122.257747,,Riffle,12,53,40,0.034,0.02,7.23,59.9
WS01-04,25-May-15,13:52,44.207,-122.254925,477,Pool,11.32,55,40,0.036,0.02,7.16,-49.3
WS01-05,25-May-15,13:52,44.207,-122.254925,477,Riffle,11.1,6,5,0.004,0,6.94,-43.5
WS01-06,25-May-15,14:50,44.206147,-122.255781,489,Pool,10.89,54,39,0.035,0.02,6.9,-32.6
WS01-07,25-May-15,14:50,44.206147,-122.255781,489,Riffle,11.43,54,40,0.035,0.02,7.08,-56.9
WS01-08,26-May-15,,44.205889,-122.254578,541,Riffle,9.67,29,20,0.019,0.01,8.33,-58.4
WS01-09,26-May-15,,44.205889,-122.254578,541,Riffle,11.18,11,8,0.007,0,7.18,-47.2
WS01-10,26-May-15,,44.205889,-122.254578,541,Pool,11.2,54,40,0.035,0.02,7.07,-56.7
WS01-11,26-May-15,20:19,44.205353,-122.252233,,Riffle,11.22,56,41,0.036,0.03,7.61,-24.4
WS01-12,26-May-15,14:38,44.204856,-122.249808,576,Pool,11.18,58,43,0.038,0.03,7.76,2.3
WS01-13,26-May-15,14:38,44.204856,-122.249808,576,Riffle,11.21,41,30,0.026,0.02,7.31,-5.6
WS01-14,28-May-15,14:49,44.204814,-122.249864,592,Pool,12.98,62,48,0.04,0.03,7.35,45.9
WS01-15,28-May-15,14:49,44.204814,-122.249864,592,Riffle,13.24,63,49,0.041,0.03,7.51,30.8
WS01-16,28-May-15,15:32,44.205114,-122.249656,581,Pool,12.99,25,20,0.016,0.01,7.56,27.2
WS01-17,28-May-15,15:32,44.205114,-122.249656,581,Riffle,13.18,27,21,0.017,0.01,7.59,23.8
WS01-18,29-May-15,16:31,44.204544,-122.249744,591,Pool,14.95,39,31,0.025,0.02,7.24,30.2
WS01-19,29-May-15,16:31,44.204544,-122.249744,591,Riffle,14.61,37,30,0.024,0.02,7.26,22.6
WS01-20,2-Jun-15,12:44,44.20295,-122.249614,644,Pool,12.9,25,19,0.016,0.01,7.17,35.5
WS01-21,3-Jun-15,17:21,44.207053,-122.256483,470,Pool,12.87,54,41,0.035,0.02,7.11,44
WS01-22,3-Jun-15,17:21,44.207053,-122.256483,470,Riffle,12.83,51,39,0.034,0.02,7.16,36.8
