"metric","dat","response","predictor","int","slope","r2","p"
"otus","headwater.lms","env.detrended.comm.dist","spa.dist",0.646483119022207,-6.17841613389543e-07,0.0024957387954246,0.74450201580122
"otus","headwater.lms","spa.detrended.comm.dist","env.dist",0.644665390287993,0.00991145995509596,0.0443985294229937,0.164722538820855
"otus","headwater.seds.lms","env.detrended.comm.dist","spa.dist",0.839782384182113,3.1779962284704e-08,5.61538450536796e-06,0.996445486272594
"otus","headwater.seds.lms","spa.detrended.comm.dist","env.dist",0.831520980016578,-0.0477394583137928,0.435143850799145,0.154040752404073
"otus","headwater.water.lms","env.detrended.comm.dist","spa.dist",0.6748925196008,-4.15269095521407e-06,0.0730403226021361,0.32995872156739
"otus","headwater.water.lms","spa.detrended.comm.dist","env.dist",0.702514582472278,0.0109294014094449,0.0531525737473716,0.408423699473826
"otus","downstream.lms","env.detrended.comm.dist","spa.dist",0.517952168908699,1.94603749058124e-06,0.0144545105350355,0.00076659906979832
"otus","downstream.lms","spa.detrended.comm.dist","env.dist",0.527155152424254,0.0229791956052221,0.0776728765000112,2.21337868659868e-15
"otus","downstream.seds.lms","env.detrended.comm.dist","spa.dist",0.434970729448403,2.98197813070584e-06,0.0495342283810689,0.014555166443391
"otus","downstream.seds.lms","spa.detrended.comm.dist","env.dist",0.448208513094612,0.0200006468065719,0.0972353971956715,0.000526320159989582
"otus","downstream.water.lms","env.detrended.comm.dist","spa.dist",0.515397204829042,4.40749013649718e-06,0.0903651607360058,3.58795327468766e-07
"otus","downstream.water.lms","spa.detrended.comm.dist","env.dist",0.536418655802512,0.00638321588217462,0.00843211520716447,0.128051532079613
"otus","hja.lms","env.detrended.comm.dist","spa.dist",0.552579383795532,1.31186595736195e-06,0.00709447573593034,0.00317528069097498
"otus","hja.lms","spa.detrended.comm.dist","env.dist",0.552289696153009,0.0196836736065865,0.0987423586255111,1.76948744286921e-29
"otus","sediment.lms","env.detrended.comm.dist","spa.dist",0.506055623688625,-2.78087745907015e-06,0.0299921391746789,0.016871990804439
"otus","sediment.lms","spa.detrended.comm.dist","env.dist",0.498148676807222,-0.0126287298125138,0.031490955323347,0.0143092257924053
"otus","headwater.lms","env.detrended.comm.dist","spa.dist",0.353516880977793,6.17841613389543e-07,0.00249573879542459,0.74450201580122
"otus","headwater.lms","spa.detrended.comm.dist","env.dist",0.355334609712007,-0.009911459955096,0.0443985294229939,0.164722538820853
"otus","water.lms","env.detrended.comm.dist","spa.dist",0.472313458130587,-1.45580859540448e-06,0.00934089213597099,0.0439383619252635
"otus","water.lms","spa.detrended.comm.dist","env.dist",0.475488687532167,-0.0196523538629962,0.132563892628093,4.40905727109979e-15
"otus","sediment.lms","env.detrended.comm.dist","spa.dist",0.506055623688625,-2.78087745907015e-06,0.0299921391746789,0.016871990804439
"otus","sediment.lms","spa.detrended.comm.dist","env.dist",0.498148676807222,-0.0126287298125138,0.031490955323347,0.0143092257924053
"otus","headwater.lms","env.detrended.comm.dist","spa.dist",0.353516880977793,6.17841613389543e-07,0.00249573879542459,0.74450201580122
"otus","headwater.lms","spa.detrended.comm.dist","env.dist",0.355334609712007,-0.009911459955096,0.0443985294229939,0.164722538820853
"otus","headwater.seds.lms","env.detrended.comm.dist","spa.dist",0.160217615817887,-3.17799622846768e-08,5.61538450536172e-06,0.996445486272597
"otus","headwater.seds.lms","spa.detrended.comm.dist","env.dist",0.168479019983422,0.047739458313793,0.435143850799146,0.154040752404072
"otus","headwater.water.lms","env.detrended.comm.dist","spa.dist",0.3251074803992,4.15269095521407e-06,0.0730403226021362,0.329958721567389
"otus","headwater.water.lms","spa.detrended.comm.dist","env.dist",0.297485417527722,-0.0109294014094449,0.0531525737473715,0.408423699473826
"otus","downstream.lms","env.detrended.comm.dist","spa.dist",0.482047831091303,-1.94603749058125e-06,0.0144545105350355,0.000766599069798264
"otus","downstream.lms","spa.detrended.comm.dist","env.dist",0.472844847575744,-0.022979195605222,0.0776728765000112,2.21337868659937e-15
